Key,Comment,Japanese,Japanese_Steam,English
Nayuta.Fallen1-42,那由多,「お゛お゛っ！？やめっ、私の中をっ、いじくるなっ！！」,「お゛お゛っ！？やめっ、私の中をっ、いじくるなっ！！」,"""Ooooh! Stop, you're messing with my insides!"
,,,,
Nayuta.Fallen1-43,,「グギャッ！グギャッ！グギャッ！」,「グギャッ！グギャッ！グギャッ！」,"Ggagh! Guggah! Guggach!"""
,,,,
Nayuta.Fallen1-44,那由多,「ほお゛お゛っ！、これっ、子宮に直接っ♥！？」,「ほお゛お゛っ！、これっ、子宮に直接っ♥！？」,"""Oh, oh, oh, oh! This is directly in my womb!"
,,,,
Nayuta.Fallen1-45,,コリュッ、コリュッ,コリュッ、コリュッ,"Korück, korück."
,,,,
Nayuta.Fallen1-46,那由多,「んお゛お゛っ♥、やめっ♥、離しなさいっ♥！」,「んお゛お゛っ♥、やめっ♥、離しなさいっ♥！」,"""Oh, oh, oh, oh, oh, stop it, stop it, let go of me!"""
,,,,
Nayuta.Fallen1-47,,那由多の声に耳を貸さず、怪人は無邪気な子供のように那由多の膣内をまさぐり続ける,那由多の声に耳を貸さず、怪人は無邪気な子供のように那由多の膣内をまさぐり続ける,"Without listening to Nayuta's voice, the monster continues to play with Nayuta's vagina like an innocent child."
,,,,
Nayuta.Fallen1-48,那由多,「んあ゛っ♥お゛っ♥、お゛♥」,「んあ゛っ♥お゛っ♥、お゛♥」,"""Aaahh ♥ oohh ♥, oohh ♥."""
,,,,
Nayuta.Fallen1-49,ゴブリン型怪人,「ギャギャギャ！」,「ギャギャギャ！」,"Gah―gah!"""
,,,,
Nayuta.Fallen1-50,那由多,「ひぎゅううううううっっっっっ♥♥♥！！！」,「ひぎゅううううううっっっっっ♥♥♥！！！」,
,,,,
Nayuta.Fallen1-51,Nayuta darkness 1-5,プシッ、プシュウウウウウッ♥！,プシッ、プシュウウウウウッ♥！,"Pshhhh, pshhhhhh ♥!"
,,,,
Nayuta.Fallen1-52,ゴブリン型怪人,「ギャッ♪　ギャッ♪」,「ギャッ♪　ギャッ♪」,♪ Gah ♪ ♪ Gah ♪
,,,,
Nayuta.Fallen1-53,那由多,「お゛おっ………お゛っ♥」,「お゛おっ………お゛っ♥」,"Ooooh ......... Ooooh ♥"""
,Nayuta darkness 1-6,,,
Nayuta.Fallen1-54,那由多,「―――――っ！、私ッ、今この怪人にっ…絶頂…させられた！？」,「―――――っ！、私ッ、今この怪人にっ…絶頂…させられた！？」,I just had a climax......made by this monster! I've just been made to climax by this monster!
,,,,
Nayuta.Fallen1-55,,「ぐううっ、私がっ…こんな雑魚にっ…」,「ぐううっ、私がっ…こんな雑魚にっ…」,"""Ugh, I... such a small fish..."""
,,,,
Nayuta.Fallen1-56,ゴブリン型怪人,「ゲギャッ♪　ゲギャッ♪」,「ゲギャッ♪　ゲギャッ♪」,♪ Geegaw ♪ ♪ Geegaw ♪
,,,,
Nayuta.Fallen1-57,那由多,「っ、こんな屈辱っ、ぐうっ、絶対に許さな―――――」,「っ、こんな屈辱っ、ぐうっ、絶対に許さな―――――」,I'll never forgive this humiliation. ―――――
,Nayuta darkness 1-7,,,
Nayuta.Fallen1-58,那由多,「んお゛お゛っ！？んん゛！？」,「んお゛お゛っ！？んん゛！？」,"""Aaah! D― d― d― d―?"
,,,,
Nayuta.Fallen1-59,ゴブリン型怪人,「ギャギャギャ♪♪」,「ギャギャギャ♪♪」,"♪ Gah, gah, gah ♪"
,Nayuta darkness 1-8,,,
Nayuta.Fallen1-60,那由多,「なっ！？、コイツッ、のペニス…が私の中にっ！？」,「なっ！？、コイツッ、のペニス…が私の中にっ！？」,"""What? He's got his penis inside me!"
,,,,
Nayuta.Fallen1-61,那由多,「っ、今すぐその汚いものを抜きなさいっ！」,「っ、今すぐその汚いものを抜きなさいっ！」,"Pull that filthy thing out now!"""
,,,,
Nayuta.Fallen1-62,,那由多は怪人を振り落とそうと必死に腰を動かす,那由多は怪人を振り落とそうと必死に腰を動かす,Nayuta moves her hips frantically trying to shake off the monster.
,,,,
Nayuta.Fallen1-63,ゴブリン型怪人,「ギャギャ？ギャッ！ギャッ！！」,「ギャギャ？ギャッ！ギャッ！！」,"Gah―gah?"" Gah! Gah!!!"""
,Nayuta darkness 1-7,,,
Nayuta.Fallen1-64,那由多,パンッ♥、パンッ♥、パンッ♥、パンッ♥！,パンッ♥、パンッ♥、パンッ♥、パンッ♥！,"Pang ♥, pang ♥, pang ♥, pang ♥!"
,,,,
Nayuta.Fallen1-65,,「んおっ♥！、おっ♥、やめっ♥、腰をっ…振るなぁっ♥！」,「んおっ♥！、おっ♥、やめっ♥、腰をっ…振るなぁっ♥！」,"""Oh, oh, oh! Don't... don't... don't... don't shake your hips!"
,,,,
Nayuta.Fallen1-66,,怪人は那由多が抵抗するほど強くしがみつき、腰を激しく振る,怪人は那由多が抵抗するほど強くしがみつき、腰を激しく振る,"The monster clings to Nayuta so tightly that she resists, and shakes her hips violently."
,Nayuta darkness 1-8,,,
Nayuta.Fallen1-67,,「んあっ゛♥、んっ♥、くうううっ♥、私がぁ♥、こんな雑魚にイかされるなどっ♥、あってはいけません♥♥！！」,「んあっ゛♥、んっ♥、くうううっ♥、私がぁ♥、こんな雑魚にイかされるなどっ♥、あってはいけません♥♥！！」,I can't let this little fish make me come!
,,,,
Nayuta.Fallen1-68,,パンッ♥、パンッ♥、パンッ♥、パンッ♥！,パンッ♥、パンッ♥、パンッ♥、パンッ♥！,"Pang ♥, pang ♥, pang ♥, pang ♥!"
,,,,
Nayuta.Fallen1-69,ゴブリン型怪人,「ギャギャ！ギャッ！」,「ギャギャ！ギャッ！」,"Gah! Gah!"""
,,,,
Nayuta.Fallen1-70,,怪人は那由多の反応を頼むように、更に激しく那由多の子宮を突き上げる,怪人は那由多の反応を頼むように、更に激しく那由多の子宮を突き上げる,"The monster thrusts Nayuta's womb even harder, as if to beg for a reaction from her."
,,,,
Nayuta.Fallen1-71,那由多,「お゛っ♥、お゛っ♥、お゛っ♥、まって♥、止まりなさいっ♥」,「お゛っ♥、お゛っ♥、お゛っ♥、まって♥、止まりなさいっ♥」,"""D―D―D―D―D―Don't, don't, don't, don't, don't, don't, don't, don't, don't, don't, don't, don't, don't, don't."""
,,,,
Nayuta.Fallen1-72,,徐々に怪人のチンポが熱を帯び、ブルブルと振動し始める,徐々に怪人のチンポが熱を帯び、ブルブルと振動し始める,"Gradually, the monster's cock begins to heat up and vibrate with a buzzing sound"
,,,,
Nayuta.Fallen1-73,ゴブリン型怪人,「ギャギャッ！、ギャギャッ！」,「ギャギャッ！、ギャギャッ！」,"""Gah―gah! Gah―gah!"""
,,,,
Nayuta.Fallen1-74,那由多,「――――な、何をしようとっ♥、――――っ、まさか！？」,「――――な、何をしようとっ♥、――――っ、まさか！？」,"""――――, what are you doing ♥, ――――, no way!"""
,,,,
Nayuta.Fallen1-75,,「っ、やめなさ―――――」,「っ、やめなさ―――――」,Stop it. ―――――
,Nayuta darkness 1-9,,,
Nayuta.Fallen1-76,,ドビュルルルッルルッ！ビュルッ、ドビュルルルッ！,ドビュルルルッルルッ！ビュルッ、ドビュルルルッ！, 
,,,,
Nayuta.Fallen1-77,那由多,「お゛お゛お゛お゛っ！？？、子宮にッ♥、精子がッ♥！？」,「お゛お゛お゛お゛っ！？？、子宮にッ♥、精子がッ♥！？」,"""Oh, oh, oh, oh, oh, oh, oh! Sperm in my womb!"
,,,,
Nayuta.Fallen1-78,ゴブリン,「ギャギャギャッ！！、ギャッ！」,「ギャギャギャッ！！、ギャッ！」,"""Gah, gah, gah! Gah―gah!"""
,,,,
Nayuta.Fallen1-79,那由多,「お゛お゛っ♥！？、しゃせいっ♥、ながいっ！？」,「お゛お゛っ♥！？、しゃせいっ♥、ながいっ！？」,"""OHHHHH! Oh, sha―sha―sha―sha, long!"""
,,,,
Nayuta.Fallen1-80,,ビュルルッ、ドクッ、ドクッ！,ビュルルッ、ドクッ、ドクッ！,
,,,,
Nayuta.Fallen1-81,那由多,「お゛っ…ん゛あ゛っ……♥」,「お゛っ…ん゛あ゛っ……♥」,"""OHHHHHHHHHHH ......♥"""
,,,,
Nayuta.Fallen1-82,ゴブリン,「ギャギャ……♪」,「ギャギャ……♪」,♪ Gya gya ...... ♪
,Nayuta darkness 1-10,,,
Nayuta.Fallen1-83,那由多,「はあっ、はあっ、」,「はあっ、はあっ、」,"""Ha―ha―ha."""
,,,,
Nayuta.Fallen1-84,,「っ、……こんな雑魚怪人に私がっ…！？」,「っ、……こんな雑魚怪人に私がっ…！？」,"""What, ......, such a small fry monster has me...?"
,,,,
Nayuta.Fallen1-85,,「………ん゛っ♥――――っっ！？」,「………ん゛っ♥――――っっ！？」,"""......... ♥――――!"
,,,,
Nayuta.Fallen1-86,,「気が付きませんでしたがっ…私の中の聖核エネルギーが減少しているっ！？」,「気が付きませんでしたがっ…私の中の聖核エネルギーが減少しているっ！？」,"""I didn't realize...the Seikaku energy in me is diminishing!"""
,,,,
Nayuta.Fallen1-87,ゴブリン型怪人,「ギャギャ♪ギャギャ！」,「ギャギャ♪ギャギャ！」,"♪ Gah, gah, gah!"""
,,,,
Nayuta.Fallen1-88,那由多,「っ……！これは…私の聖核エネルギーが消滅…いえ、この怪人に吸収されているっ！？」,「っ……！これは…私の聖核エネルギーが消滅…いえ、この怪人に吸収されているっ！？」,"I'm not sure what to do...""......! This is... my Seikaku energy is being dissipated... no, it's being absorbed by this monster!"
,,,,
Nayuta.Fallen1-89,,怪人はさっき射精したにも関わらず、再びチンポを那由多の中で硬くしている,怪人はさっき射精したにも関わらず、再びチンポを那由多の中で硬くしている,"The monster is making his cock hard inside Nayuta again, even though he ejaculated earlier!"
,,,,
Nayuta.Fallen1-90,,「っ！、まずいですねっ…、仮に聖核エネルギーを吸収して成長するなら…この怪人が弱いうちに何とかしなければっ！」,「っ！、まずいですねっ…、仮に聖核エネルギーを吸収して成長するなら…この怪人が弱いうちに何とかしなければっ！」,I've got to do something about this monster while it's still weak! If it grows by absorbing the Seikaku energy... we have to do something while this monster is still weak!
,,,,
Nayuta.Fallen1-91,ゴブリン型怪人,「ギャッ、ギャ！」,「ギャッ、ギャ！」,"Gah, gah!"""
,,,,
Nayuta.Fallen1-92,,パチュッ、パチュッ！,パチュッ、パチュッ！,Patu―patu―patu!
,,,,
Nayuta.Fallen1-93,那由多,「ぐうっ、またッ！？――いえ、大丈夫です、精神を集中させれば聖核エネルギーの流出を抑えられるはずっ！」,「ぐうっ、またッ！？――いえ、大丈夫です、精神を集中させれば聖核エネルギーの流出を抑えられるはずっ！」,"""Ugh, again? ――No, it's okay, if you concentrate your mind, you should be able to suppress the outflow of the Seikaku energy!"
,,,,
Nayuta.Fallen1-94,,「二度と先ほどのような無様は晒しませんっ！私の精神力を舐めないでくださいっ！」,「二度と先ほどのような無様は晒しませんっ！私の精神力を舐めないでくださいっ！」,"I will never again display the same ineptitude as I did earlier! Don't you dare lick my spirit!"""
,暗転,,,
Nayuta.Fallen1-95,,――――そして5分後,――――そして5分後,―――― and 5 minutes later
,Nayuta darkness 1-14,,,
Nayuta.Fallen1-96,,ドビュルルルッルルッ！ビュルッ、ドビュルルルッ！,ドビュルルルッルルッ！ビュルッ、ドビュルルルッ！, 
,,,,
Nayuta.Fallen1-97,那由多,「ひっぐうううううっっ♥♥！？！また中に出てるっ♥！？」,「ひっぐうううううっっ♥♥！？！また中に出てるっ♥！？」,I'm coming inside again! It's inside me again!
,,,,
Nayuta.Fallen1-98,ゴブリン型怪人,「ギャッ♪ギャッ♪」,「ギャッ♪ギャッ♪」,♪ Gah ♪ ♪ Gah ♪
,,,,
Nayuta.Fallen1-99,那由多,「お゛お゛っ、そんなっ♥、また聖核エネルギー奪われてるっ♥♥」,「お゛お゛っ、そんなっ♥、また聖核エネルギー奪われてるっ♥♥」,"""Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, they're taking the Seikaku energy again."
,,,,
Nayuta.Fallen1-100,,「お゛ほ゛っ♥、私はっ♥、こんな雑魚にいっ♥、絶対負けませんっ！」,「お゛ほ゛っ♥、私はっ♥、こんな雑魚にいっ♥、絶対負けませんっ！」,I will not be defeated by such a small fish!
,,,,
Nayuta.Fallen1-101,,「ひぎっ♥、お゛お゛っ♥」,「ひぎっ♥、お゛お゛っ♥」,"""HIGH ♥, OHHHH ♥."""
,,,,
Nayuta.Fallen1-102,,那由多の抵抗もむなしく、小さな怪人による凌辱は一晩中続くのだった,那由多の抵抗もむなしく、小さな怪人による凌辱は一晩中続くのだった,"Nayuta's resistance was futile, and the little monster's humiliation continued throughout the night."
,,,,
Nayuta Fallen Scene２,注釈,闇堕ちシーン,闇堕ちシーン,闇堕ちシーン
,,,,
Nayuta.Fallen2-1,Nayuta darkness 2-1,那由多がゴブリン型怪人に調教され始めてから2日,那由多がゴブリン型怪人に調教され始めてから2日,Two days after Nayuta started being trained by the goblin―type monster.
,,,,
Nayuta.Fallen2-2,,ジュブッ、ブボッ、ジュルッ、ジュポッ、ジュポッ！,ジュブッ、ブボッ、ジュルッ、ジュポッ、ジュポッ！,"Jub, bub, jub, jub, jub!"
,,,,
Nayuta.Fallen2-3,,拘束室に水音が響く,拘束室に水音が響く,The sound of water echoes in the holding room.
,,,,
Nayuta.Fallen2-4,ゴブリン型怪人,「グギャッ、グギャッ！」,「グギャッ、グギャッ！」,"Ggah, ggah!"""
,,,,
Nayuta.Fallen2-5,那由多,「ん゛ん～～～っ！、ジュプッ、ジュプッ♥」,「ん゛ん～～～っ！、ジュプッ、ジュプッ♥」,"♥""♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ Jup, jup, jup ♥"""
,,,,
Nayuta.Fallen2-6,ゴブリン型怪人,「ギャッ！、ギャッ！」,「ギャッ！、ギャッ！」,"Gah! Gah!"""
,,,,
Nayuta.Fallen2-7,,怪人はもっと強くしゃぶれと言うように那由多の頭を叩き、不機嫌そうな声を上げる,怪人はもっと強くしゃぶれと言うように那由多の頭を叩き、不機嫌そうな声を上げる,The monster smacks Nayuta on the head as if to tell her to suck harder and makes a grumpy sound
,,,,
Nayuta.Fallen2-8,那由多,「ん゛んっ♥！？、ジュポッ♥、ジュルルルッ♥、ジュポッ♥」,「ん゛んっ♥！？、ジュポッ♥、ジュルルルッ♥、ジュポッ♥」,"""¡Humph! Jupo ♥, jupo ♥, jupo ♥."""
,,,,
Nayuta.Fallen2-9,,那由多は口で怪人のチンポをさらに激しく愛撫する,那由多は口で怪人のチンポをさらに激しく愛撫する,Nayuta caresses the monster's cock even harder with her mouth
,,,,
Nayuta.Fallen2-10,那由多,「ジュルッ♥、ジュポッ♥、ジュポッ♥、ジュポッ♥！」,「ジュルッ♥、ジュポッ♥、ジュポッ♥、ジュポッ♥！」,"Jools ♥, joo poo ♥, joo poo ♥, joo poo ♥!"""
,,,,
Nayuta.Fallen2-11,ゴブリン怪人,「グギャッ♪、グギャッ♪」,「グギャッ♪、グギャッ♪」,"♪ Guggah ♪, guggah ♪"
,,,,
Nayuta.Fallen2-12,那由多,「ん゛ふっ♥、ジュプッ、ジュプッ♥」,「ん゛ふっ♥、ジュプッ、ジュプッ♥」,"""Jup, jup, jup, jup, jup, jup, jup."""
,,,,
Nayuta.Fallen2-13,ゴブリン型怪人,「ギャッギャッ！、ギャッ！！！」,「ギャッギャッ！、ギャッ！！！」,"Gah―gah!"" Gah―gah!!!"""
,,,,
Nayuta.Fallen2-14,Nayuta darkness 2-2,ドビュルルルッルルッ！ビュルッ、ドビュルルルッ！,ドビュルルルッルルッ！ビュルッ、ドビュルルルッ！, 
,,,,
Nayuta.Fallen2-15,,怪人は那由多の頭を押さえつけ、精液を飲み込ませる,怪人は那由多の頭を押さえつけ、精液を飲み込ませる,The monster holds Nayuta's head down and makes her swallow his semen.
,,,,
Nayuta.Fallen2-16,那由多,「ん゛ん゛っ、ゴブッ、ゴキュ、ジュルッ♥」,「ん゛ん゛っ、ゴブッ、ゴキュ、ジュルッ♥」,"""Gobble, gobble, gulp, julp ♥"""
,,,,
Nayuta.Fallen2-17,Nayuta darkness 2-3,「ん゛ん゛っ！オエ゛ッ、ゲホッ、ゴホッ！」,「ん゛ん゛っ！オエ゛ッ、ゲホッ、ゴホッ！」,"""D―D―D―D―D. ""Aaahhh, gee whiz, gee whiz!"""
,,,,
Nayuta.Fallen2-18,,那由多の口に射精された精液が逆流し、盛大にむせ返る,那由多の口に射精された精液が逆流し、盛大にむせ返る,The semen ejaculated into Nayuta's mouth flows backwards and she swallows heavily.
,Nayuta darkness 2-4,,,
Nayuta.Fallen2-19,那由多,「ゲホッ、ゴホッ…」,「ゲホッ、ゴホッ…」,"""Gobble, gobble..."""
,,,,
Nayuta.Fallen2-20,那由多,「プハッ、はあっ、はあっ、はあっ！」,「プハッ、はあっ、はあっ、はあっ！」,"Puh―lease, ha―ha―ha!"""
,,,,
Nayuta.Fallen2-21,ゴブリン型怪人,「ギャッ♪、ギャッ♪」,「ギャッ♪、ギャッ♪」,"♪ Gah, gah ♪"
,,,,
Nayuta.Fallen2-22,那由多,「ハアッ、ハアッ…ッ、調子に乗って…とはいえ、これで少しは時間が稼げましたか…？」,「ハアッ、ハアッ…ッ、調子に乗って…とはいえ、これで少しは時間が稼げましたか…？」,
,,,,
Nayuta.Fallen2-23,,(……この怪人は私が女性器で絶頂するごとに私から聖核エネルギーを吸収します…),(……この怪人は私が女性器で絶頂するごとに私から聖核エネルギーを吸収します…),(...... this monster absorbs Seikaku energy from me every time I climax with my vagina...)
,,,,
Nayuta.Fallen2-24,,(聖核エネルギーを吸収されないよう、どうにか口で処理してしのいでいますが…),(聖核エネルギーを吸収されないよう、どうにか口で処理してしのいでいますが…),(I somehow manage to handle it with my mouth so that it doesn't absorb the Seikaku energy...)
,,,,
Nayuta.Fallen2-25,,「っ…、こんな雑魚怪人にっ、こんな屈辱的な事しかできないなんて…っ！」,「っ…、こんな雑魚怪人にっ、こんな屈辱的な事しかできないなんて…っ！」,I can't believe I can only do such a humiliating thing to such a small fry monster!
,,,,
Nayuta.Fallen2-26,,「しかし所詮は知能も低い雑魚…エネルギーが溜まって変身したら一瞬で細切れにします！」,「しかし所詮は知能も低い雑魚…エネルギーが溜まって変身したら一瞬で細切れにします！」,"But it is only a small fish with low intelligence...when it builds up energy and transforms, it will shred you in an instant!"""
,,,,
Nayuta.Fallen2-27,Nayuta darkness 2-5,「ギャッ♪ギャッ♪ギャギャ！」,「ギャッ♪ギャッ♪ギャギャ！」,♪ Gah ♪ ♪ Gah ♪ ♪ Gah ♪ ♪ Gah ♪ ♪ Gah ♪ ♪ Gah ♪
,,,,
Nayuta.Fallen2-28,,突然、ゴブリンが那由多の膣内に腕を突っ込み子宮を刺激する,突然、ゴブリンが那由多の膣内に腕を突っ込み子宮を刺激する,"Suddenly, the goblin thrusts his arm into Nayuta's vagina and stimulates her uterus"
,,,,
Nayuta.Fallen2-29,那由多,「ひぐっ！？、こ、このっ！」,「ひぐっ！？、こ、このっ！」,"""Higg! Ko, ko, ko!"""
,,,,
Nayuta.Fallen2-30,,「下を弄られるのはまずいですね…っ！、何とか興味を逸らさないとっ！」,「下を弄られるのはまずいですね…っ！、何とか興味を逸らさないとっ！」,"I'm not supposed to be playing with my bottom...! I have to distract them somehow!"""
,,,,
Nayuta.Fallen2-31,,那由多は舌をを突き出し、フェラの素振りをする,那由多は舌をを突き出し、フェラの素振りをする,Nayuta sticks out her tongue and pretends to suck
,,,,
Nayuta.Fallen2-32,那由多,「れろっ、んっ♥、こっちで抜いてあげますからっ！れろっ♥」,「れろっ、んっ♥、こっちで抜いてあげますからっ！れろっ♥」,I'll pull it out this way! Rerotsu!
,,,,
