Key,Comment,Japanese,English
,,(はあっ♥、はあっ♥、わたし…はっ…負けんっ……！こんな……ふざけた機械などに…っ♥！),
,,,
,,そしてダイヤは全く抵抗できないまま、その体は順調に改造されていくのだった。,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Daiya Fallen Scene　２,注釈,闇堕ちシーン,闇堕ちシーン
,,,
,Daiya story DLC 1-3,――――ダイヤへの調教が始まってから数日,
,,,
,ダイヤ,「ん゛お゛っ…♥お゛おおっ……♥♥……ゲえッ…♥」,
,,,
,那由多,「お久しぶりですダイヤさん、気分はどうですか？」,
,,,
,,「ふむ…改造進行度99％、ご主人さまのペニスを受け入れても大丈夫なおまんこになりましたね。」,
,Daiya story DLC 1-１,,
,,,
,ダイヤ,「カポッ……♥、んあっ！？♥……はあっ♥！……はあっ♥！」,
,,,
,,「ん゛あ゛っ♥わ、私はっ…負けて…ないっ♥…！ん゛っ♥」,
,,,
,,「いくら貴様らに……体を改造されようとも…っ♥！私は…聖核戦姫…だっ♥！」,
,,,
,,ダイヤは全身を強烈な性感に犯されながらも強靭な精神力で意識を保ち続けていた。,
,,,
,那由多,「あはははっ♥、その精神…素晴らしいですっ！完全に想定していた通りの仕上がりですっ！」,
,,,
,,「ご主人様も喜んでくれるでしょう…さあ、そろそろお披露目の時間です…！」,
,,,
,暗転,,
,,,
,Daiya darkness 1-1,ダイヤは手足に持ち手を付けられ、巨大な怪人によって持ち上げられていた。,
,,,
,ダイヤ,「ひあっ……は、離せっ！！」,
,,,
,那由多,「どうですかご主人様？これが私が丹精込めて作った聖核戦姫オナホです♥」,
,,,
,,「強めの聖核戦姫で作ったのでぇ……ご主人様にも満足していただけるかと…♥」,
,,,
,怪人,「ふむ…この筋肉の付き具合…確かに並の聖核戦姫ではないようだな。」,
,Daiya  darkness 1-2,,
,ダイヤ,「ひっ…き、貴様っ……！」,
,,,
,,ダイヤは目の前にある怪人の巨大なペニスを見て生物的な恐怖を感じる,
,,,
,,(こ…この怪人…、なんてオーラなんだ…！？),
,,,
,,(私が討伐してきた怪人なんて比べ物にならないっ…財団はいつからこんな強力な怪人を……！？),
,,,
,,(怪人となった清藤エレナより……いや、下手をすれば那由多よりも強い……！？),
,,,
,怪人,「グフフッ、どうした？急に静かになりおって…もう心が折れたのか？」,
,,,
,ダイヤ,「っ……！そんなわけっ……私はっ……最強の聖核戦姫なんだっ！」,
,,,
,,(はあっ、はあっ、……しかし……これが怪人の…ぺ、ペニス…！？),
,,,
,,(冗談じゃないっ…！こんな大きいの入るわけが…っ！！),
,Daiya darkness 1-3,,
,ダイヤ,「っ、怪人！汚いぞっ！せめて手足が付いている状態ならっ…！」,
,,,
,,「せ、正々堂々と戦えっ！そうすれば貴様など…ッ！」,
,,,
,那由多,「おやおや？オナホが何か言ってますね？」,
,,,
,ダイヤ,「はあっ…はあっ…、ど、どんなに体を改造されても…私は戦士だっ！」,
,,,
,,「こんな怪人のちんぽに屈することなど…ッ！！」,
,,,
,那由多,「おやおや？しかしあなたのおまんこは戦士では無いようですが？」,
,,,
,ダイヤ,「……な…っ！？」,
,,,
,,ダイヤの秘所からは既に愛液がだらだらと流れ、怪人のチンポを濡らしている,
,,,
,那由多,「ふふっ、始まる前からこれとは…優秀なオナホちゃんですね♥」,
,,,
,ダイヤ,「はっ…ち、違う、これはっ…！」,
,,,
,怪人,「はははっ、面白いことを言うメスだ、まだ戦う意志があるとはな！」,
,,,
,,そして怪人はチンポでダイヤの谷間をベチベチと叩く.,
,Daiya darkness 1-2,,
,ダイヤ,「やあっ♥！？…ひいっ！？」,
,,,
,怪人,「いいだろう…貴様がイカずに先に私を射精させられれば、手足を返し聖核戦姫として戦ってやる。」,
,,,
,,「しかし負けた暁には…私の好きにさせてもらおうか。」,
,,,
,ダイヤ,(ぐうっ……コイツの慰み者になるのはっ……避けられないかっ………！),
,,,
,,(それならっ……覚悟を決めるしかないっ……私は……勝たなければいけないのだからっ…！),
,,,
,ダイヤ,「はっ♥、はっ♥、ぐっ…そんなの……望むところ…だっ！」,
,,,
,,「私はっ…最強の聖核戦姫だっ！こんな……チンポなんかに…負けないっ！」,
,,,
,,ダイヤは震えを噛み殺しながら虚勢を張り怪人に宣言する。,
,,,
,,(そうだっ、何を弱気になっている…いくら強い怪人だろうと…私は戦うだけだっ！),
,,,
,ダイヤ,「こんなチンポに…チンポなんかに――――」,
,,,
,Daiya darkness 1-4,ズボッッ、ドチュンッッ！！,
,,,
,ダイヤ,「ひっぎゅうううううっっ！！？！？！」,
,,,
,,怪人がダイヤを下ろし、怪人チンポがダイヤへ挿入される,
,,,
,,「お゛っお゛お゛お゛お゛お゛お゛っっっ！？」,
,,,
,,プシッ♥、プシュウウウウウッッ♥,
,,,
,,「お゛おっ、ひっ♥、お゛っ♥、お゛っ！？」,
,,,
,那由多,「おやおや…ダイヤちゃんおちんぽ一撃即イキで潮吹いちゃってますね？残念ながら早速ダイヤちゃんの負けです。」,
,Daiya darkness 1-6,,
,ダイヤ,「お゛お゛っ、ま、まけてにゃいっ♥！」,
,,,
,,「わたしはっ、このていどでっ♥、まけないいいぃッ！！」,
,,,
,那由多,「まあ……おちんぽに串刺しで無様に潮を吹きながらよくそんなことが言えますね。」,
,,,
,,「だそうですので…ご主人様、もっとそのおちんぽ様で分からせてあげてください♥」,
,,,
,怪人,「ああ、もちろんだ。」,
,,,
,ダイヤ,「はあっはあっ、ひいっ…ま、まって――――」,
,,,
,Daiya darkness 1-5,ズチュッ！！ズチュッ！！ズチュッ！！,
,,,
,ダイヤ,「ほお゛っ！？お゛おっ♥、ほお゛ほっ！？！！」,
,,,
,,膣内を怪人の巨大で熱した鉄のようなペニスが上下し、一突きごとにダイヤの意識を削っていく,
,,,
,,「お゛おっ♥、ま、っ♥、まってえっ♥、そんなっ♥…いぎゅうっ♥！？」,
,,,
,那由多,「あははっ、ダイヤちゃんのかっこよかった腹筋…おちんぽの形に浮き出ちゃってますね！」,
,,,
,,「イキ潮も止まりませんね。一体さっきから何回絶頂しているのでしょうか？」,
,Daiya darkness 1-7,,
,ダイヤ,「ひぎゅうっ！！ま、まけてないぃ♥！！こんなチンポなんかにっ♥、けどっ、や、やめろぉ♥♥！！」,
,,,
,,ジュポンッ！ドチュッ！ドチュッ！！,
,,,
,那由多,「無駄ですよ？あなたの体はもうオナホなんですから。じきにおちんぽの事しか考えられなくなりますので。」,
,,,
,ダイヤ,「ちっ、ちがうううっ♥♥！わたしはっ…！聖核戦姫っ♥！こんなチンポのオナホなんかにっ♥ならないっ♥！」,
,,,
,,「さ、ご主人様、頭の悪いダイヤちゃんがちゃんと自分をオナホだと認めるまで躾けちゃってください！」,
,,,
,怪人,「うむ。」,
,,,
,ダイヤ,「や、ひあっ、や、やめろぉ！！」,
,,,
,Daiya darkness 1-5,ドチュンッッ、ズボッッ！！ズボッ！！,
,,,
,,「ほお゛っ！？お゛おっ♥、ほお゛ほっ～～～～♥♥！？！！」,
,,,
,,「う゛うああっ！！、わたしはっ、まけないいっ♥！！」,
,,,
,,「こんな怪人のおちんぽなんかにっ！わたしはっ♥、くっしないっ～～♥！！！」,
,,,
,那由多,「いいえ、残念ですが聖核戦姫としてのあなたはここで終わりです。」,
,,,
,,ズチュッ！！ズチュッ！！ズチュッ！！ドチュッ！,
,,,
,ダイヤ,「くそおっ！！、そんなわけがっ！！、私は怪人のオナホなんかにはっ！！なりたくないっ♥♥！！」,
,,,
,那由多,「いいえ、貴女の負けですよ？今あなたが生かされてるのもご主人様のおちんぽに奉仕するため…それ以外の価値はありません。」,
,,,
,,「あなたがこれまで苦労して鍛えてきたのも、聖核戦姫として戦ってきたのも、全ては締りの良いオナホになるためだったんですね。」,
,,,
,ダイヤ,「や、やだあっ！！私はっ…そんなことのためにっ！戦ってきたんじゃない！！」,
,,,
,那由多,「ふふっ、ですが四肢を取られ無様に喘ぐ今のあなたはそれにしか見えませんよ。」,
,,,
,ダイヤ,「お゛っ♥！お゛っ♥！お゛お゛っ♥！くしょおっ！！」,
,,,
,Daiya darkness 1-7,(ぐうううっ♥、おちんぽに体の奥までずぼずぼされてっ♥、意識が持たないっ…♥！！),
,,,
,,(私がっ♥、こんな所で終わるわけが…っ♥！！ヒスイがっ…やり遂げるまではっ…♥！),
,,,
,Daiya darkness 1-5,ドチュンッッ、ズボッッ！！ズボッ！！ドチュッ！！,
,,,
,,「お゛おっ、ひっ♥、お゛っ♥、お゛っ♥」,
,,,
,,いくら抵抗しようとしても、怪人によって軽々と扱われるダイヤにはもはやなすすべがない,
,,,
,ダイヤ,「へひっ♥、お゛っ♥、お゛っ♥、お゛おっ♥」,
,,,
,ダイヤ,「う゛うっ、私はっ…まけ…な…ひぎゅっ！？」,
,,,
,Daiya darkness 1-7,怪人が動きをとめ、ダイヤを一番深い位置で固定する,
,,,
,ダイヤ,「ひあっ！？な、何をする気だあっ――――？！」,
,,,
,Daiya darkness 1-8,その瞬間怪人のチンポの先端からダイヤの子宮の奥へと熱い精液の奔流が放たれた,
,,,
,,ドクッ！ドビュルルルルルッル！！,
,,,
,ダイヤ,「お゛おっ♥！？お゛ほお゛お゛お゛お゛ッッッッ！！！？」,
,,,
,,子宮を潰されながら精液を子宮に流し込まれ、ダイヤは悲鳴にならない悲鳴を上げる,
,,,
,,ドクドクドクッ！！ブシュウウウウウッ！！！,
,,,
,ダイヤ,「お゛おっ♥♥！？！？…お゛おおっ♥♥！！」,
,,,
,,「おちんぽからっ♥♥、あついのでてるううっ～～～♥！？」,
,,,
,,逆流した精液が結合部からあふれ出る,
,,,
,ダイヤ,「お゛っ♥、うお゛っ♥、お゛おっ！？おおおっ♥！？」,
,,,
,,「ひぎっ、お゛っ♥なにっ♥、これっ♥♥…せいえきっ♥♥………子宮にっ…んおおおっ～～♥♥！？」,
,,,
,,ドクッ……ドクッ……,
,,,
,那由多,「ふふっ…凄いでしょダイヤさん♥ご主人様のおちんぽは。」,
,,,
,ダイヤ,「ひぎっ…うっ……うるさい…っ！！」,
,,,
,,ズルズルッ……ギュポッ…！！,
,,,
,Daiya darknenss 1-9,「ほ゛おおおっ♥！？お゛おお～～～～♥！？」,
,,,
,,ダイヤの秘所から怪人のペニスがずるずると引き抜かれ、ダイヤに放たれた精液がぼとぼとと零れ落ちる,
,,,
,ダイヤ,「ひああっ♥♥…おまんこがっ…閉じれない…いぃ…♥♥！？」,
,,,
,,「偉いですよダイヤさん！弱い聖核戦姫と違ってしっかりご主人様が射精するまで壊れませんでした！私の見立ては間違ってなかったですね！」,
,,,
,,「ふふっ♥、これからご主人様に沢山可愛がってもらって立派なオナホになりましょうね♥」,
,,,
,ダイヤ,「はあっ♥、はあっ♥、お゛おっ♥だ、だれが……オナホなんかにぃ…♥！」,
,,,
,那由多,「おやおや、これは驚きました！まさかまだ反抗心が残っているとは…！」,
,,,
,ダイヤ,「私はっ……この…程度でっ…まけは…しないっ♥！」,
,,,
,,「私は…オナホなんかに…ならない…っ♥！」,
,,,
,那由多,「ふふっ、大丈夫ですよ。ご主人様は絶倫ですから♥貴女が堕ちるまで何度でも相手してくれます♥」,
,,,
,怪人,「ああっ…まだ始まったばかりだ、せいぜい楽しませろ」,
,,,
,,そして怪人は精液のついたチンポをダイヤのマンコにぺちぺちと叩きつける,
,,,
,,「ひっ、ひいっ！？そんなっ…！？まだ…こんな………♥」,
,,,
,ダイヤ,「や、やだ…っ！……ヒスイっ…た、助けにきてえっ！！早くっ！」,
,,,
,那由多,「ふふっ、遠慮しないで…私が勝てなかったのに貴女がご主人様に勝てるわけが無いんですから…♥」,
,,,
,,「さあ、一緒にご主人様にご奉仕しましょう…♥大丈夫、すぐに大好きになりますから…♥」,
,,,
,ダイヤ,「―――――――っ！」,
,,,
,,そしてその日、ダイヤは10回以上怪人に使われ、ダイヤの心は確実に砕かれていくのだった,
,,,
,,――――――――,
,,,
,,――――,
,,,
,,ー,
,,,
,,,
,,,
Daiya Fallen Scene 3,注釈,闇堕ちシーン,闇堕ちシーン
,,,
,,ダイヤが怪人のオナホになってからしばらくして,
,Daiya darkness 2-1,,
,那由多,「さてダイヤちゃん？今日のおまんこの時間ですよ。」,
,,,
,ダイヤ,「えへっ♥、えへっ♥、わんっ♥、わんっ♥」,
,,,
,,ダイヤは四肢を犬のような義足に取り替えられ、怪人によって抱えられていた,
,,,
,那由多,「うふふ、マン汁垂らしながら腰をヘコヘコさせて…ご主人様の所有物として100点ですね。」,
,,,
,,「新しくつけてもらった手足はどうですか？」,
,,,
,ダイヤ,「え、えへへっ♥、こ、こっちの脚の方が好きですっ…♥」,
,,,
,,「えへっ♥、えへっ♥、ご主人様に媚びるためだけの手足…♥、弱くて情けない私にぴったりですぅ♥」,
,,,
,那由多,「ふふっ、毎日ご主人様にしつけられてすっかり従順になりましたね…聖核戦姫の誇りとかプライドとか言ってたのが嘘みたいです。」,
,,,
,ダイヤ,「わんっ♥、那由多様ぁ…私が間違っていましたっ♥」,
,,,
,,「毎日ご主人様のおチンポで格の違いを思い知らされてっ♥、調教されて…」,
,,,
,,「私は心の底からご主人様のオナホ犬になっちゃいましたっ♥」,
,,,
,那由多,「ふふふっ、散々私の事を“財団の犬”とか言ってましたが…ダイヤさんは本当の犬になっちゃいましたね。」,
,,,
,ダイヤ,「へっ♥、へっ♥、そうですっ♥、私は従順な犬ですっ♥、犬が調子に乗って申し訳ございませんでしたっ♥」,
,,,
,那由多,「ふふっ、別にいいんですよ…それより今は私達のご主人様にご奉仕する時間ですよ？」,
,,,
,ダイヤ,「わんっ♥、へっ♥、へっ♥、ご主人様っ♥」,
,,,
,,「今からおチンポでずぼずぼされるのが待ちきれなくて…こんなに期待汁出しちゃってますぅ♥」,
,,,
,,「今日もダイヤ、おまんこでご主人様に沢山ご奉仕しますのでっ♥、はやくオナホまんこにおチンポくらさいっ♥」,
,,,
,怪人,「グフフッ、ずいぶんとおねだりが上手になったものだな。」,
,,,
,那由多,「ええ、こんなにおまんこヘコヘコさせて…ご主人様、このわんちゃんを可愛がってあげてください♥」,
,,,
,怪人,「ああ、もちろんだっ！」,
,,,
,Daiya darkness 2-2,ズチュッ！！ドチュンッッ！！！ズボオオオッ！！,
,,,
,ダイヤ,「みぎゃっ♥！！？お゛お゛お゛お゛お゛っっっ♥！？！？」,
,,,
,,「お゛っ♥お゛っ♥お゛ちんぽっ♥、まけっ♥、まけましたあぁっ♥！！」,
,,,
,那由多,「ふふっ♥、勝負をしているわけでもないのに…一体何に負けたんですか？」,
,Daiya darkness 2-3,,
,ダイヤ,「おちんぽにっ♥、ダイヤのおまんこ負けましたっ♥、完全敗北ですっ♥！！」,
,,,
,那由多,「やれやれ、この駄犬は負け癖がついちゃって…すぐに負けた負けた言うので困りますね。」,
,,,
,ダイヤ,「お゛゛っ♥、だってぇっ♥、こんなおチンポに勝てるわけが無いっ♥、雑魚マンコ即イキで敗北してますっ♥」,
,,,
,,そしてダイヤはちんちんのポーズのまま怪人によって体を使われる,
,,,
,Daiya darkness 2-2,ズボッ！！ズボッ！！ズボッ！！,
,,,
,ダイヤ,「お゛゛っ♥、お゛っ♥、ご主人様のおチンポっ♥、一突きごとに子宮つぶされてぇ♥！！、イクッ♥！」,
,,,
,,「ご主人様、腕の筋肉もおチンポも強すぎてぇ…♥、負けるっ♥、負けますううっ♥！」,
,,,
,,ズボッ！！ズボッ！！ズボッ！！,
,,,
,ダイヤ,「お゛お゛っ♥、お゛ひっ♥、お゛おっ♥、お゛お゛っ♥」,
,,,
,那由多,「ふふっ、おチンポの上でぴょんぴょんしてて可愛いですね♥」,
,,,
,,「ですがご主人様におまんこでご奉仕することも忘れないでくださいね？」,
,,,
,ダイヤ,「お゛っ♥、し、しめますっ♥、おまんこきゅーってしてっ♥、ご主人様にごほうししますっ♥！！」,
,,,
,怪人,「ハハハッ、健気で良い事だ…ッ！」,
,,,
,ダイヤ,「はひいっ♥、あ、ありがとうございますっ♥、雑魚まんこですか存分にお使いくださいぃいいっ♥！」,
,,,
,,ズボッ！！ズボッ！！ドチュッン！！,
,,,
,ダイヤ,「お゛っ♥お゛っ♥お゛っ♥？！！」,
,,,
,Daiya darkness 2-3,「ご主人様のおちんちんっ♥、びくびくしてますっ♥！」,
,,,
,,「あっ♥、射精くるっ♥、腕で一番深いとことににおチンポ固定されてっ…♥、出されちゃうっ…♥」,
,,,
,Daiya darkness 2-4,ドクッ！ドクッ！！ドビュルルルルルッル！！,
,,,
,,「お゛おっ♥お゛っ♥せいえきっ…♥、奥に出てますうううぅっ♥♥！！！」,
,,,
,Daiya darkness 2-5,「お゛っ♥、凄いっ♥、せいえきでっ、おなかのなかみたされるっ～～♥！」,
,,,
,,ドクドクドクッ！！ブシュウウウウウッ！！！,
,,,
,那由多,「ふふっ♥、ご主人様の射精量は流石ですね…♥」,
,,,
,ダイヤ,「はひっ♥、凄いですっ♥、お腹のなかいっぱいにされてっ♥、屈伏しちゃいますっ♥」,
,,,
,Daiya darkness 2-6,ズルズルッ……ドパッ……,
,,,
,ダイヤ,「お゛っ♥、お゛お゛～～～っ♥、お゛っ♥」,
,,,
,,チンポが引き抜かれダイヤの気が緩んだ瞬間――――,
,,,
,Daiya darkness 2-7,プシュウウウウウッ――――,
,,,
,ダイヤ,「お゛っ♥こ、これは、ちがっ…♥」,
,,,
,,緊張を失ったダイヤの股から黄色の液体が放たれる,
,,,
,那由多,「あっ、こらっ！ご主人様のおチンポは電柱じゃないんですよ！本当に我慢のできない駄犬ですねっ！」,
,,,
,ダイヤ,「ごっ、ごめんなさいっ♥、で、でも止まらなくてっ♥」,
,,,
,那由多,「全く…舐めて掃除するのは私なのですから汚さないで欲しいですね…」,
,,,
,ダイヤ,「あっ♥、じゃ、じゃあ私も舐めるのでっ♥、那由多様も一緒に…♥」,
,,,
,那由多,「…ふう、まあいいでしょう。どちらもご主人様の性奴隷であることには変わりませんからね…」,
,,,
,ダイヤ,「えへっ♥、は、はひっ♥楽しみですッ♥」,
,,,
,,ダイヤのマスクの裏には既に昔の凛とした表情は微塵もなく、ただ強者へこびへつらう笑みが浮かぶ,
,,,
,ダイヤ,「へっ♥、へっ♥、弱くて哀れな私ですがっ♥、ご主人様の愛玩犬になれてっ…幸せですぅ…♥」,
,,,
,,――――――――,
,,,
,,――――,
