Key,Japanese,English,Traditional Chinese,Simplified chinese
System.Close,閉じる,Close,關閉,閉じる
System.NewAbility,特殊技習得！,New ability learned!,獲取新技能！,特殊技習得！
System.EquipmentType,品質,Quality,品質,品質
System.EquipmentNormal,普通,Normal,普通,普通
System.EquipmentRare,逸品,Rare,逸品,逸品
System.EquipmentHoly,聖核装備,Seikaku Equipment,聖核装備,聖核装備
System.ReturnToTitle,タイトルメニューに戻る,Return to title,回到主菜單,タイトルメニューに戻る
System.Retry,リトライ,Retry,重試,リトライ
System.Understood,了解,Understood,了解,了解
System.PanelUnavailable,"未開放
聖核戦姫を捕獲せよ","Not available
Go capture a Seikaku-princess!","未開放
請去抓捕聖核戦姫","未開放
聖核戦姫を捕獲せよ"
System.RewardItem,アイテム獲得,Item reward,獲得物品,アイテム獲得
System.Reward,成果報酬,Reward,報酬,成果報酬
System.Receive,受取,Accept,受取,受取
System.Heroin,聖核戦姫,Seikaku-princess,聖核戦姫,聖核戦姫
System.Trapped,{s}を捕獲完了！,{s} captured!,成功捕獲{s}！,{s}を捕獲完了！
System.TrainPanelUpdate,調教画面がアップデートされました,Training panel have been updated.,調教画面的內容更新了。,調教画面がアップデートされました
System.NovelLog,ログ,Log,記錄,ログ
System.NovelAuto,オート開始・停止,Auto (ON/OFF),自動播放 (ON/OFF),オート開始・停止
System.NovelSkip,スキップ,Skip,跳過,スキップ
System.NovelHide,UI非表示,Hide UI,隱藏UI,UI非表示
System.NewBattler,{s}をチームに編入することが可能となりました,You can now include {s} into party! ,現在可以把{s}編入進隊伍裡了！,{s}をチームに編入することが可能となりました
System.NewCoreEquipment,"{s}を獲得しました！
キャラクター育成画面でアイテムを装備できます。","Get new item {s}!
Equip item at Character Building Panel.","獲得裝備: {s}！
可以到角色育成畫面裝備到角色上。","{s}を獲得しました！
キャラクター育成画面でアイテムを装備できます。"
System.Storage,収納庫,Storage,收納庫,収納庫
Systeｍ.Requirement,解放条件:,Requirement: ,解放条件:,解放条件:
System.HornyTrained,淫乱調教完了,Horniness Training,淫乱調教完成,淫乱調教完成
System.NewAbilityTraining,{s}が新しい特殊技を覚えました。,{s} learnt new special ability.,{s}學到新特殊技能了。,{s}學到新特殊技能了。
System.NewRecord,"オペレーションの間にアジトである起き事が発生しました
今記録を見ますか？","During the operation, some event happened in the hideout.
Check the record now?","行動中基地裡發生了一點事情。
現在觀看記錄嗎？","行动中基地里发生了点事情。
现在观看记录吗？"
System.CheckRecordNow,今見る,Yes,現在觀看,现在观看
System.CheckRecordLater,後にする,Later,等下才看,等下才看
System.RecordTutorial,画面左側の「{s}」ボタンで記録を確認できます。,You can check records at [{s}] button.,您可以在左側的「{s}」查看記錄。,您可以在左侧的「{s}」查看记录。
System.EndCredit,終わり,,,
System.BackToTitle,"タイトル画面に戻りますか？
セーブしていないデータが消えます。",,,
Memory,回想,Memory,回想,回想
Memory.Akiho_1,明穂 - 痴漢,Akiho - Chikan,明穂 - 痴漢,明穂 - 痴漢
Memory.Akiho_2,明穂 - 敗北,Akiho - Defeat,明穂 - 敗北,明穂 - 敗北
Memory.Rikka_1,立花 - 身体検査,Rikka - Body check,立花 - 身体検査,立花 - 身体検査
Memory.Erena_1,エレナ - オナニー,Erena - Masturbation,艾蓮娜 - 自慰,エレナ - オナニー
Memory.Erena_2,エレナ - 性奉仕 I,Erena - Sex service I,艾蓮娜 - 性奉仕 I,エレナ - 性奉仕 I
Memory.Erena_3,エレナ - 性奉仕 II,Erena - Sex service II,艾蓮娜 - 性奉仕 II,エレナ - 性奉仕 II
Memory.Kei_1,京 - ハッキング,Kei - Hacking,京 - 黑客,京 - ハッキング
Memory.Kei_2,京 - 捕獲,Kei - Captured,京 - 捕獲,京 - 捕獲
Memory.Nayuta_1,那由多 - 捕獲,Nayuta - Captured,那由多 - 捕獲,那由多 - 捕獲
Memory.Nayuta_2,決戦,Final Battle,決戰,決戰
Memory.AkihoBrainWash_1,明穂 - おっぱい改造実験 I,Akiho - Tits experiment I,,
Memory.AkihoBrainWash_2,明穂 - おっぱい改造実験 II,Akiho - Tits experiment II,,
Memory.AkihoBrainWash_3,明穂 - おっぱい改造実験 III,Akiho - Tits experiment III,,
Memory.AkihoCore_1,明穂 - 聖核研究 I,Akiho - Seikaku Research I,,
Memory.AkihoCore_2,明穂 - 聖核研究 II,Akiho - Seikaku Research II,,
Memory.AkihoHorny_1,明穂 - 性奉仕 I,Akiho - Sex service I,,
Memory.AkihoHorny_2,明穂 - 性奉仕 II,Akiho - Sex service II,,
Memory.RikkaBrainWash_1,立花 - 戦闘員化 I,Rikka - Normalization I,,
Memory.RikkaBrainWash_2,立花 - 戦闘員化 II,Rikka - Normalization II,,
Memory.RikkaBrainWash_3,立花 - 戦闘員化 III,Rikka - Normalization III,,
Memory.RikkaCore_1,立花 - 聖核研究 I,Rikka - Seikaku Research I,,
Memory.RikkaCore_2,立花 - 聖核研究 II,Rikka - Seikaku Research II,,
Memory.RikkaHorny_1,立花 - オナニーショー I,Rikka - Masturbation Show I,,
Memory.RikkaHorny_2,立花 - オナニーショー II,Rikka - Masturbation Show II,,
Memory.ErenaBrainWash_1,エレナ - 家畜化 I,Erena - Domestication I,,
Memory.ErenaBrainWash_2,エレナ - 家畜化 II,Erena - Domestication II,,
Memory.ErenaBrainWash_3,エレナ - 家畜化 III,Erena - Domestication III,,
Memory.ErenaCore_1,エレナ - 聖核研究 I,Erena - Seikaku Research I,,
Memory.ErenaCore_2,エレナ - 聖核研究 II,Erena - Seikaku Research II,,
Memory.ErenaHorny_1,エレナ - AVデビュー I,Erena - Porn Star Debut I,,
Memory.ErenaHorny_2,エレナ - AVデビュー II,Erena - Porn Star Debut II,,
Memory.KeiBrainWash_1,京 - 洗脳調教 I,Kei - Brainwash Sex I,,
Memory.KeiBrainWash_2,京 - 洗脳調教 II,Kei - Brainwash Sex II,,
Memory.KeiBrainWash_3,京 - 洗脳調教 III,Kei - Brainwash Sex III,,
Memory.KeiCore_1,京 - 聖核研究 I,Kei - Seikaku Research I,,
Memory.KeiCore_2,京 - 聖核研究 II,Kei - Seikaku Research II,,
Memory.KeiHorny_1,京 - エロ配信 I,Kei - Livestream I,,
Memory.KeiHorny_2,京 - エロ配信 II,Kei - Livestream II,,
Memory.NayutaBrainWash_1,那由多 - 聖核回収 I,Nayuta - Seikaku Drain I,,
Memory.NayutaBrainWash_2,那由多 - 聖核回収 II,Nayuta - Seikaku Drain II,,
Memory.NayutaBrainWash_3,那由多 - 聖核回収 III,Nayuta - Seikaku Drain III,,
Memory.NayutaCore_1,那由多 - 聖核研究 I,Nayuta - Seikaku Research I,,
Memory.NayutaCore_2,那由多 - 聖核研究 II,Nayuta - Seikaku Research II,,
Memory.NayutaHorny_1,那由多 - VIP招待 I,Nayuta - VIP Service I,,
Memory.NayutaHorny_2,那由多 - VIP招待 II,Nayuta - VIP Service II,,
Memory.AkihoPaizuri,明穂のパイズリ奉仕,Akiho's Tit Fucking,,
Memory.CloneTask,クローンの通常業務,Clones' Daily Task,,
Memory.Nursery,変身ヒロイン苗床化,Seedbed of Magical Girls,,
Memory.Final,最後の二人の聖核戦姫,The Last Two Seikaku Princess,,
Memory.Kei,小悪魔の日常,A Succubus' Day,,
Memory.Erenayuta,最強の二人,The Strongest Duo,,
Memory.SeikakuEquip,聖核加工工場,Seikaku Factory,,
WorldMapScene,ワールドマップ,World Map,ワールドマップ,ワールドマップ
System.Story,ストーリー進行,Continue story,繼續故事,ストーリーを進む
System.EndGameContent,エンドゲーム\nコンテンツ,Endgame\nContent,,
System.SideMission,資源調達クエスト,Resource Gathering,其他任務,資源調達クエスト
System.QuestList,クエスト一覧,Operation List,任務一覧,クエスト一覧
System.FoodQuest,[食料調達],[Food Gather],[食料調達],[食料調達]
System.BankQuest,[銀行強盗],[Bank Robe],[銀行強盗],[銀行強盗]
System.ResearchQuest,[戦闘研究],[Battle Research],[戦闘研究],[戦闘研究]
System.RewardQuest,報酬,Reward,報酬,報酬
System.AlertLevel,警戒度,Security Level,警戒度,警戒度
System.Star,★,★,★,★
Names,名詞/名称,名詞/名称,名詞/名称,名詞/名称
Name.Akiho,笹谷 明穂,Sasaya Akiho,笹谷 明穂,笹谷 明穂
Name.Rikka,水無瀬 六花,Minase Rikka,水無瀬 六花,水無瀬 六花
Name.Kei,猫宮 京,Nekomiya Kei,猫宮 京,猫宮 京
Name.Erena,清藤 エレナ,Seidō Erena,清藤 艾蓮娜,清藤 エレナ
Name.Nayuta,八雲 那由多,Yakumo Nayuta,八雲 那由多,八雲 那由多
Name.No5,005号,No.005,005号,005号
Name.No23,023号,No.023,023号,023号
Name.Battler,戦闘員,Battler,戦闘員,戦闘員
Name.Tentacle,触手怪人,TentacleMan,触手怪人,触手怪人
Name.Clone,005号,No.005,005号,005号
Name.RikkaDisguise,水無瀬 六花？,Minase Rikka??,水無瀬 六花？,水無瀬 六花？
Name.Drone,パトロールドローン,Patrol Drone,巡邏無人機,パトロールドローン
Name.GoldDrone,進化型ドローン,Improved Drone,進化型無人機,進化型ドローン
Name.DarkDrone,攻撃特化型ドローン,Attacker Drone,攻撃特化型無人機,攻撃特化型ドローン
Name.Android,警備ドロイド,Patrol Android,警備機器人,警備ドロイド
Name.GoldAndroid,進化型ドロイド,Improved Android,進化型機器人,進化型ドロイド
Name.DarkAndroid,攻撃特化型ドロイド,Attacker Android,攻撃特化型機器人,攻撃特化型ドロイド
Name.Tank,四脚タンク,Quad Leg Tank,四脚坦克,四脚タンク
Name.DarkTank,軍用歩行型タンク,Military Tank,軍用歩行型坦克,軍用歩行型タンク
Name.Battler+Tentacle,触手怪人、戦闘員,"Battler, TentacleMan",触手怪人、戦闘員,触手怪人、戦闘員
Name.Man,男,Man,男,男
Name.Chairman,理事長,Chairman,理事長,理事長
Name.Tentacle_Human,触手怪人(人間体),Tentacle (HumanForm),触手怪人(人類形態),触手怪人(人間体)
Name.Director,監督,Director,監督,監督
Name.FemaleStudent,女生徒,Female Student,女學生,女生徒
Name.SeikakuSenki,聖核戦姫,Seikaku Princess,聖核戰姬,圣核战姬
Name.GuardMan,駅員,Station Staff,駅員,駅員
Name.Host,司会者,Host,主持人,司会者
Name.Audience,観客,Audience,觀眾,観客
Name.Assistant,助手,Assistant,助手,助手
Name.Goblin,ゴブリン型怪人,Goblin,哥布林型怪物,ゴブリン型怪人
Name.Mutant,怪人,Mutant,怪物,怪人
Name.Audience1,観客１,Audience1,觀眾１,観客１
Name.Audience2,観客２,Audience2,觀眾２,観客２
Name.Audience3,観客３,Audience3,觀眾３,観客３
Name.Researcher,研究員,Researcher,研究員,研究員
Name.Slime,スライム,Slime,史萊姆,スライム
Name.Rikka_Core,立花？？,Rikka??,立花？？,立花？？
Name.AkihoRikka,明穂＆六花,Akiho&Rikka,明穂＆立花,明穂＆立花
Name.Tentacle_Monster,触手怪獣,Tentacle Monster,触手怪獣,触手怪獣
Name.Clones,072号＆他のクローン,No.072 and others,072号＆其他克隆體,072号＆他のクローン
Name.No5_Call,005号(通信),No.005 (Call),005号(通信),005号(通信)
Name.ErenaNayuta,エレナ＆那由多,,,
Name.CloneBattler,クローン戦闘員,Clone,克隆,克隆
Name.Battler_Call,戦闘員(通信),Battler (Call),戦闘員(通信),戦闘員(通信)
Name.Kei_Call,猫宮京(通信),Nekomiya Kei (Call),猫宮京(通信),猫宮京(通信)
Name.Akiho_Corrupted,笹谷 明穂,Sasaya Akiho,笹谷 明穂,笹谷 明穂
Name.Rikka_Corrupted,072号,No.072,072号,072号
Name.Kei_Corrupted,猫宮 京,Nekomiya Kei,猫宮 京,猫宮 京
Name.Erena_Corrupted,清藤 エレナ,Seidō Erena,清藤 艾蓮娜,清藤 エレナ
Name.Nayuta_Corrupted,八雲 那由多,Yakumo Nayuta,八雲 那由多,八雲 那由多
Mood,心情,Mood,心情,心情
Mood.Rebel,反抗的,Rebel,反抗,反抗的
Mood.Pleasure,享楽,Pleasure,享樂,享楽
Mood.Despair,絶望,Despair,絶望,絶望
Mood.Submissive,従順,Submissive,順從,従順
Mood.Resist,忍耐,Resist,忍耐,忍耐
Mood.Contempt,軽蔑,Contempt,軽蔑,軽蔑
Mood.Deprave,堕落,Deprave,堕落,堕落
Mood.Angry,憤怒,Angry,憤怒,憤怒
Mood.Expect,期待,Expecting,期待,期待
Mood.Disgust,嫌悪,Disgust,嫌悪,嫌悪
Mood.Loyal,忠実,Loyal,忠実,忠実
OptionSetting,オプション設定,Option,オプション設定,オプション設定
Option.BGM,BGM音量,BGM Volume,背景音量,BGM音量
Option.SE,効果音音量,SE Volume,音效音量,効果音音量
Option.Voice,ボイス音量,Voice Volume,人物配音音量,人物配音音量
Option.TextSpeed,テキスト速度,Text Spd,文本速度,テキスト速度
Option.AutoSpeed,オート速度,Auto Spd,自動播放速度,オート速度
Option.Apply,適用,Apply,適用,適用
Option.Default,デフォルト,Default,預設值,デフォルト
Option.Second,秒,Sec,秒,秒
Option.WindowMode,画面設定,Window Mode,画面設定,画面設定
Option.FullScreen,フルスクリーン,Fullscreen,全屏,フルスクリーン
Option.WindowedScreen,ウィンドウモード,Windowed Screen,窗口模式,ウィンドウモード
BattleScene,戦闘シーン,Battle Scene,戦闘シーン,戦闘シーン
Battle.Attack,攻撃,Attack,攻撃,攻撃
Battle.Skill,特殊技,Skill,技能,特殊技
Battle.Item,道具,Item,道具,道具
Battle.Idle,待機,Idle,待機,待機
Battle.Level,Lv.,Lv.,Lv.,Lv.
Battle.HP,HP,HP,HP,HP
Battle.MP,SP,SP,SP,SP
Battle.ActionOrder,行動順序,Order,行動順序,行動順序
Battle.Cancel,右クリックで取り消し,Right click to cancel action,右鍵取消行動,右クリックで取り消し
Battle.Start,任務開始,Operation Start,任務開始,任務開始
Battle.Victory,任務クリア,Operation Success,任務完成,任務クリア
Battle.Defeat,敗北,Defeat,敗北,敗北
Battle.SkipTutorial,スキップ,Skip,跳過,スキップ
Battle.EscapeConfirm,撤退しますか？,Sure to escape?,確定要撤退嗎？,撤退しますか？
Battle.Escape,撤退,Run,撤退,撤退
Battle.CannotAttack,普通攻撃を行えない,Can not attack,不能普通攻撃,普通攻撃を行えない
Battle.OnCooldown,チャージ中 ({0}ターン),On cooldown ({0}turn),冷卻中 ({0}回合),チャージ中 ({0}ターン)
Battle.NotEnoughSP,SP不足 ({0}),Not enough SP ({0}),SP不足 ({0}),SP不足 ({0})
Battle.AbilityDisabled,使用不可,Disabled,不能使用,使用不可
Buff,状態,Buff,状態,状態
Buff.Stun,行動不能,Stunned,行動不能,行動不能
Buff.Hurt,継続ダメージ,Hurt,継続ダメージ,継続ダメージ
Buff.Heal,継続回復,Heal,継続回復,継続回復
Buff.Shield_up,防御力上昇,DEF UP,防御力上昇,防御力上昇
Buff.Shield_down,防御力下降,DEF DOWN,防御力下降,防御力下降
Buff.Attack_up,攻撃力上昇,ATK UP,攻撃力上昇,攻撃力上昇
Buff.Attack_down,攻撃力下降,ATK DOWN,攻撃力下降,攻撃力下降
Buff.Speed_up,素早さ上昇,SPD UP,素早さ上昇,素早さ上昇
Buff.Speed_down,素早さ下降,SPD DOWN,素早さ下降,素早さ下降
Buff.ContinuousAction,連続行動,Continuous Action,連続行動,連続行動
Buff.Repel,反撃,Return damage,反撃,反撃
Buff.Disarm,無力化,Disarm,無力化,無力化
Equipment,アイテム名とその説明文,Items,アイテム名とその説明文,アイテム名とその説明文
Equipment.NiceT-Shirt,気持ち良いTシャツ,気持ち良いTシャツ,気持ち良いTシャツ,気持ち良いTシャツ
Equipment.NiceT-Shirt_Info,気持ちよすぎるTシャツ、すごく動きやすい。,気持ちよすぎるTシャツ、すごく動きやすい。,気持ちよすぎるTシャツ、すごく動きやすい。,気持ちよすぎるTシャツ、すごく動きやすい。
Equipment.Helmet,スマートヘッドギア,スマートヘッドギア,スマートヘッドギア,スマートヘッドギア
Equipment.Helmet_Info,"頭部の守りだけでなく、情報のリアルタイム表示も可能な最新型ヘルメット。
かの過酷な戦場「クォンタム戦役」での生存率を確実に向上させてきたアイテム。","頭部の守りだけでなく、情報のリアルタイム表示も可能な最新型ヘルメット。
かの過酷な戦場「クォンタム戦役」での生存率を確実に向上させてきたアイテム。","頭部の守りだけでなく、情報のリアルタイム表示も可能な最新型ヘルメット。
かの過酷な戦場「クォンタム戦役」での生存率を確実に向上させてきたアイテム。","頭部の守りだけでなく、情報のリアルタイム表示も可能な最新型ヘルメット。
かの過酷な戦場「クォンタム戦役」での生存率を確実に向上させてきたアイテム。"
Equipment.Collar,忠誠の首輪,忠誠の首輪,忠誠の首輪,忠誠の首輪
Equipment.Collar_Info,組織への忠誠の証明として着用する首輪。,組織への忠誠の証明として着用する首輪。,組織への忠誠の証明として着用する首輪。,組織への忠誠の証明として着用する首輪。
Equipment.Stick,鉄パイプ,鉄パイプ,鉄パイプ,鉄パイプ
Equipment.Sitck_Info,道端に偶然良い棒に出会ったら本能的に拾いたいのは男だ。名付けてナイスステック。,道端に偶然良い棒に出会ったら本能的に拾いたいのは男だ。名付けてナイスステック。,道端に偶然良い棒に出会ったら本能的に拾いたいのは男だ。名付けてナイスステック。,道端に偶然良い棒に出会ったら本能的に拾いたいのは男だ。名付けてナイスステック。
Equipment.Umbrella,高強度繊維傘,高強度繊維傘,高強度繊維傘,高強度繊維傘
Equipment.Umbrella_Info,最新のナノテクノロジーを駆使した日本製の傘。攻撃と防御の二面性を持ち、まさに武器としての芸術品。,最新のナノテクノロジーを駆使した日本製の傘。攻撃と防御の二面性を持ち、まさに武器としての芸術品。,最新のナノテクノロジーを駆使した日本製の傘。攻撃と防御の二面性を持ち、まさに武器としての芸術品。,最新のナノテクノロジーを駆使した日本製の傘。攻撃と防御の二面性を持ち、まさに武器としての芸術品。
Equipment.Stungun,ショックウェーブ・パルサー,ショックウェーブ・パルサー,ショックウェーブ・パルサー,ショックウェーブ・パルサー
Equipment.Stungun_Info,"都市伝説として語り継がれるスタンガン、名が囁かれるだけで、敵対者を感電させてしまうという噂が立つ。
敵を行動不能にする特殊技を使えるようになる。","都市伝説として語り継がれるスタンガン、名が囁かれるだけで、敵対者を感電させてしまうという噂が立つ。
敵を行動不能にする特殊技を使えるようになる。","都市伝説として語り継がれるスタンガン、名が囁かれるだけで、敵対者を感電させてしまうという噂が立つ。
敵を行動不能にする特殊技を使えるようになる。","都市伝説として語り継がれるスタンガン、名が囁かれるだけで、敵対者を感電させてしまうという噂が立つ。
敵を行動不能にする特殊技を使えるようになる。"
Equipment.Glove,雷鋼製の手袋,雷鋼製の手袋,雷鋼製の手袋,雷鋼製の手袋
Equipment.Glove_Info,"新しく発明された「雷鋼」で作った手袋。
変形可能で攻撃力が向上しますが、非常に重く、実用性が課題となっている。","新しく発明された「雷鋼」で作った手袋。
変形可能で攻撃力が向上しますが、非常に重く、実用性が課題となっている。","新しく発明された「雷鋼」で作った手袋。
変形可能で攻撃力が向上しますが、非常に重く、実用性が課題となっている。","新しく発明された「雷鋼」で作った手袋。
変形可能で攻撃力が向上しますが、非常に重く、実用性が課題となっている。"
Equipment.StolenUndie,聖核戦姫から盗んだパンティ,聖核戦姫から盗んだパンティ,聖核戦姫から盗んだパンティ,聖核戦姫から盗んだパンティ
Equipment.StolenUndie_Info,"身につけた者には、神秘の輝きが満ち、疲れた心と体を癒す力を持っている。
装備者は毎ターンSPを少量回復する。","身につけた者には、神秘の輝きが満ち、疲れた心と体を癒す力を持っている。
装備者は毎ターンSPを少量回復する。","身につけた者には、神秘の輝きが満ち、疲れた心と体を癒す力を持っている。
装備者は毎ターンSPを少量回復する。","身につけた者には、神秘の輝きが満ち、疲れた心と体を癒す力を持っている。
装備者は毎ターンSPを少量回復する。"
Equipment.Cushion,フワフワクッション,フワフワクッション,フワフワクッション,フワフワクッション
Equipment.Cushion_Info,"触れると心地よい柔らかさが広がり、まるで空気そのものが抱擁しているよう。
装備者は待機時にＳＰとＨＰも回復される。","触れると心地よい柔らかさが広がり、まるで空気そのものが抱擁しているよう。
装備者は待機時にＳＰとＨＰも回復される。","触れると心地よい柔らかさが広がり、まるで空気そのものが抱擁しているよう。
装備者は待機時にＳＰとＨＰも回復される。","触れると心地よい柔らかさが広がり、まるで空気そのものが抱擁しているよう。
装備者は待機時にＳＰとＨＰも回復される。"
Equipment.Shoes,スプリントシューズ,スプリントシューズ,スプリントシューズ,スプリントシューズ
Equipment.Shoes_Info,ただの運動靴、しかし企業が何年もかけたその科学の粋は侮れない。,ただの運動靴、しかし企業が何年もかけたその科学の粋は侮れない。,ただの運動靴、しかし企業が何年もかけたその科学の粋は侮れない。,ただの運動靴、しかし企業が何年もかけたその科学の粋は侮れない。
Equipment.Akiho,明穂の聖核,明穂の聖核,明穂の聖核,明穂の聖核
Equipment.Akiho_Info,装備者は毎ターンHPとSPを回復する。,装備者は毎ターンHPとSPを回復する。,装備者は毎ターンHPとSPを回復する。,装備者は毎ターンHPとSPを回復する。
Equipment.Rikka,立花の聖核,立花の聖核,立花の聖核,立花の聖核
Equipment.Rikka_Info,ダメージ受けた時に自動的に反撃する。,ダメージ受けた時に自動的に反撃する。,ダメージ受けた時に自動的に反撃する。,ダメージ受けた時に自動的に反撃する。
Equipment.Erena,エレナの聖核,エレナの聖核,エレナの聖核,エレナの聖核
Equipment.Erena_Info,攻撃でたまに敵を行動不能にする。,攻撃でたまに敵を行動不能にする。,攻撃でたまに敵を行動不能にする。,攻撃でたまに敵を行動不能にする。
Equipment.Kei,京の聖核,京の聖核,京の聖核,京の聖核
Equipment.Kei_Info,装備者以外のパーティーメンバーが全員15点攻撃力増加。,装備者以外のパーティーメンバーが全員15点攻撃力増加。,装備者以外のパーティーメンバーが全員15点攻撃力増加。,装備者以外のパーティーメンバーが全員15点攻撃力増加。
Equipment.Nayuta,那由多の聖核,那由多の聖核,那由多の聖核,那由多の聖核
Equipment.Nayuta_Info,装備者は毎ターン攻撃力を5~15点増加する。,装備者は毎ターン攻撃力を5~15点増加する。,装備者は毎ターン攻撃力を5~15点増加する。,装備者は毎ターン攻撃力を5~15点増加する。
Items,アイテム名とその説明文,アイテム名とその説明文,アイテム名とその説明文,アイテム名とその説明文
Item.Croissant,クロワッサン,クロワッサン,クロワッサン,クロワッサン
Item.Croissant_Info,エレガントな味覚を楽しむための特別な軽食。,エレガントな味覚を楽しむための特別な軽食。,エレガントな味覚を楽しむための特別な軽食。,エレガントな味覚を楽しむための特別な軽食。
Item.Bread,食パン,食パン,食パン,食パン
Item.Bread_Info,一切の準備が必要なく、どこでも手軽に摂取できるため、忙しい人々に力強い支えを提供している。,一切の準備が必要なく、どこでも手軽に摂取できるため、忙しい人々に力強い支えを提供している。,一切の準備が必要なく、どこでも手軽に摂取できるため、忙しい人々に力強い支えを提供している。,一切の準備が必要なく、どこでも手軽に摂取できるため、忙しい人々に力強い支えを提供している。
Item.Melonpan,メロンパン,メロンパン,メロンパン,メロンパン
Item.Melonpan_Info,甘さとふんわりとした食感が特徴の美味しい軽食。,甘さとふんわりとした食感が特徴の美味しい軽食。,甘さとふんわりとした食感が特徴の美味しい軽食。,甘さとふんわりとした食感が特徴の美味しい軽食。
Item.Pancake,パンケーキ,パンケーキ,パンケーキ,パンケーキ
