DLC Story,Comment,Japanese
,京,「ふふっ、そうだろう？すぐにでも量産体制に入ろうと思う、街中からちょうどいい女を誘拐して――――」
,,
,,その時、アラームが鳴り、モニターから緊急連絡の通報が入る。
,,
,クローン(通信),「っ、緊急で連絡させていただきます！」
,,
,京,「っ、なんだ？話の途中に―――」
,,
,クローン戦闘員,「聖核戦姫調教セクターから被験体が脱走しました！」
,,
,エレナ,「…我々が離れているときにッ…しかしクローン戦闘員がいるというのに脱走ですか？」
,,
,那由多,「聖核戦姫調教セクター…まさか」
,,
,クローン戦闘員,「脱走したのは聖核戦姫、コード：ダイヤモンドです―――！」
,,
,暗転,
,地下通路背景,ガッシャアアアアンッッ！！！！
,,
,クローン戦闘員,「っ、ぐうっ、このっ！！」
,,
,クローン戦闘員,「―――――敵は強力です！連携をっ――――！」
,,
,ダイヤモンド(シルエット→立ち絵),「無駄だっ！はああっ！！！」
,,
,ダイヤモンド,「私は聖核戦姫ダイヤモンドッ！最強の聖核戦姫だッ！！」
,,
,暗転,
,Hisui story DLC１,(……………！)
,,
,,(なんの音……………？)
,,
,,(何か非常事態が――――！！！)
,,
,,ガッシャアアアアンッッ！
,暗転,
,地下通路背景,
,,少女を拘束していた水槽が壊れ、彼女は床に放り出される
,,
,???(ヒスイ　全裸),「……………っ、うぅ、一体どうなって…」
,,
,クローン×３,「っ！、敵の攻撃により被検体が実験槽より流出！直ちに確保を！」
,,
,,そして何人かのクローンが水槽から放たれたばかりの少女を取り押さえようと襲い掛かる
,,
,???,「っ、な、―――――」
,,
,ダイヤモンド,「っ、まだ無事な聖核戦姫が…？させるかッ！」
,,
,,ダイヤモンドの大剣が翻り、クローン達が吹き飛ばされる
,,
,???,「なっ、あっ、ありがとうございます…」
,,
,ダイヤモンド,「礼など言っている場合か！貴様も聖核戦姫だろう！生き延びたければ戦え！」
,,
,???,「っ！？は、はいっ！」
,,
,,(そうだ………私は聖核戦姫！状況はわからないけど……今の私に出来ることをっ！)
,,
,,そして少女の体から緑色の光があふれ出し――――
,,
,ヒスイ(ヒスイ変身),「変身完了！私はヒスイ、聖核戦姫、コード：ヒスイです！」
,,
,ダイヤモンド,「今からこの戦闘員共を突破する！私が道を切り開くから自分の身は自分で守れ！」
,,
,ヒスイ,「は、はいっ！」
,,
,ダイヤモンド,「はあああああっっっっ――――――――！！！！！」
,,
,ヒスイ,「……………！！！」
,ホワイトアウトする演出(暗転の白Ver),
,,数時間後、都市の裏路地にて
,背景　裏路地,
,ヒスイ(私服),「はあっ、はあっ、はあっ…」
,,
,ダイヤ(私服),「……ふう、ここまで来れば一旦逃げ切っただろう。」
,,
,,二人の聖核戦姫は財団の追跡を振り切り、夜の闇に紛れて路地裏に身を隠していた
,,
,,
,,
,ヒスイ,「た、助けていただきありがとうございました。ええと…私はヒスイ…西園寺ヒスイです。貴女は…？」
,,
,ダイヤ,「…………。」
,,
,,「………私はこれから財団の本拠地を奇襲し、幹部共を暗殺する。」
,,
,ヒスイ,「えっ！？な、何を？」
,,
,ダイヤ,「……今財団は我々を探すために多少本体の警備は手薄になっているはずだ。」
,,
,ヒスイ,「そんな、いくら貴女でも今は…！」
,,
,ダイヤ(変身),「…私は聖核戦姫の正義を執行する。貴様は自分の身を隠す事に集中しろ。」
,,
,ヒスイ,「そ、それなら私も聖核戦姫です！一緒に戦います―――」
,,
,ダイヤ,「……先ほど貴様の戦闘を見ていたが、はっきり言って力不足だ。」
,,
,,「せいぜいクローン共2～3匹を相手にするのが関の山だろう…はっきり言って足手まといだ。」
,,
,,「さらばだ、運が良ければまた会う事もあるだろう。幸運を祈る。」
,,
,ヒスイ,「――――っ！」
,,
,,「――――待ってください！！！」
,,
,,「私も聖核戦姫です！このまま敵にやられっぱなしではいられません！」
,,
,,「私は聖月生徒会で書記をやっていました…奴らの情報も持っていますし…もっと可能性のある作戦も立てられます！」
,,
,,「それに…あそこにはエレナ先輩がいて…絶対取り戻したいんです！」
,,
,,「ですから！お願いです、私の話を聞いてください！」
,,
,ダイヤ,「……………。」
,,
,,「…………………なるほど。」
,,
,ダイヤ(私服に戻る),「…………私はアナスタシア・ペトロ・ダイヤモンド。…ダイヤでいい。」
,,
,ヒスイ,「……！改めましてヒスイです！」
,,
,ダイヤ,「ヒスイか、よろしく頼む。ふう…今日の突入は無しにする。」
,,
,,「…聞かせてくれ、お前にどんな作戦があるのか……っ――――。」
,,
,,その瞬間ダイヤの体がふらつき倒れそうになる。
,,
,ヒスイ,「！、だ、駄目じゃないですか！？まずは休みましょう！――――」
,,
,,
,,
,,
,,
,,
DLC1-1,,
,背景　カフェ,――――二人の聖核戦姫が財団を脱出してから数日後。
,ヒスイ,「それでは作戦を説明します」
,,
,,「正直私達二人だけでは正面から財団の戦闘員達…特にあの那由多先輩には勝つことは難しいでしょう」
,,
,ダイヤ,「……………。」
,,
,,「そこで…私が生徒会の書記の時に見た資料の中に戦力になりそうなものがありました…！」
,,
,,「この資料を見てください…聖核の力を増幅して聖核戦姫の力を何倍にも増幅するパワードスーツです！」
,,
,,「エレナ先輩の清藤グループが、聖核戦姫を支援するために開発していたらしいです…戦闘力では那由多先輩に匹敵するとか。」
,,
,,
,,
,,「このスーツをダイヤさんが使えば…那由多先輩にも勝てるはずです！」
,,
,ダイヤ,「……こんなものに頼るのは気が進まないが……それでこれはどこにある？」
,,
,ヒスイ,「清藤グループの管理下の施設です。ただ…」
,,
,ダイヤ,「………ただ？」
,,
,ヒスイ,「保管庫は財団の支配下で厳重に警備されていて…今ではエレナ先輩の許可が無ければ入るのは厳しいです」
,,
,ダイヤ,「…なるほど。」
,,
,ダイヤ,「……つまり清藤エレナを拉致して無理やり開かせればいいわけか。」
,,
,ヒスイ,「ら、拉致…！？ま、まあ出来るならそれでもいいんですが…」
,,
,,「出来れば説得して…無理ならエレナ先輩の指示であることを証明できるものがあれば…生徒証とか…？」
,,
,ダイヤ,「しかし……どうやって清藤エレナに接近するつもりだ？」
,,
,ヒスイ,「…最近財団は戦力強化のため、一般人の女性を誘拐して戦闘員にしているようです。」
,,
,ダイヤ,「……………外道な…！」
,,
,ヒスイ,「はい…ですがこれは財団に近づくチャンスです。」
,,
,ヒスイ,「………ですので、私が戦闘員に紛れて財団に潜入します！」
,,
,ダイヤ,「……あまりに危険だ。それなら私がやる。」
,,
,ヒスイ,「いえ、ダイヤさんまで捕まってしまってはそれこそおしまいです。」
,,
,ダイヤ,「しかしだな…」
,,
,,「私はダイヤさんほど強くは無いですが…生徒会時代からこういう立ち回りは得意なんです。」
,,
,,「ダイヤさんには適宜こちらから連絡します…ですので、待っていてください！」
,,
,ダイヤ,「…そうか……わかった。」
,,
,,「……一つだけ聞かせてくれ。ヒスイ、……君は何のために戦う？」
,,
,ヒスイ,「…………っ！……私は……。」
,,
,,「私は……平和のため！……エレナ先輩や聖核戦姫の皆さんとの平和な日常を取り戻すために戦います………！」
,暗転,
,背景夜の街,
,,数日後、夜の街にて。
,,
,男戦闘員,「オラッ、女共をどんどん捕まえろ！」
,,
,,戦闘員達は戦闘員になりそうな若い女を捕え、どんどんトラックの荷台へと積み込んでいた。
,,
,ヒスイ,「……ひどい…。」
,,
,,「……皆さんごめんなさい。今は助けられないけど…。」
,,
,,ヒスイは戦闘員によって捕らえられた女性が積み込まれたトラックに入り、気絶したふりをする。
,,
,男戦闘員,「おっし大量大量！早速戦闘員生産工場へ直行だ！」
,,
,,戦闘員がトラックの荷台のドアを閉め、運転席へ乗り込む。
,,
,,(……とりあえず潜入は成功ですね。)
,,
,,「おっと忘れる所だったぜ、中で暴れられると困るからな。」
,,
,,戦闘員がそう言うとトラックの中に煙が噴射される。
,,
,ヒスイ,(………！これは睡眠ガス…！？)
,,
,,「次目が覚めた時は全員、性処理奴隷の戦闘員だ。最後にせいぜいいい夢でも見るんだな。」
,,
,,(…っ、私がいることに気が付いたわけではなさそうですが…これは…！)
,,
,,(まずいです……流石に敵中で寝るのは危険すぎますっ…)
,,
,,(うっ、うぅっ、い、意識が………)
,,
,,(私は聖核戦姫っ…、この程度の睡眠ガスなん……て…)
,,
,,(………………っ…………。)
,,
,,(……………………………。)
,,
,,ヒスイの意識はそこで途切れた。
,,
,暗転,
,Hisui story DLC2-1,
,ヒスイ,「………んぅ…………？」
,,
,,「…………ここは………？」
,,
,,ヒスイは自分の状況に気が付く。
,,
,,(っ、そうでした…！私は潜入するためにトラックに乗って……。)
,,
,,(……周りにも捕らわれた女の子たちが……つまりここが戦闘員化工場…っ！？)
,,
,,(しかもっ……、体のコントロールが効かない……！？聖核戦姫に変身もできない……！)
,,
,,その時、ヒスイの意識の中へ機械的な女性の声が語り掛ける。
,,
,,【対象の意識の覚醒を確認。只今より戦闘員化プログラムを開始します。】
,,
,,(戦闘員化プログラムっ！？……もう……！？)
,,
,,(こういう状況になるのは想定していたけど……心の準備がっ……！)
,,
,Hisui story DLC2-２,ヒスイがそう思考した瞬間ヒスイに繋がれたコードから頭の中にバチッと電流が流れる
,,
,,(ひぎゅっ！？)
,,
,,【戦闘員化プログラム中の不要な思考は禁止されます。】
,,
,,(なあっ、ちょ、ちょっとまってっ！)
,,
,,バチバチバチッ！！
,,
,,【戦闘員化プログラム中の不要な思考は禁止されます。】
,,
,,(ひぁっ、はあっ、電気がっ頭の中にっ……！？)
,,
,,バチバチバチッ！！
,,
,,【戦闘員化プログラム中の不要な思考は禁止されます。】
,,
,,(ひぎゅうっ…！？はあっ、はあっ、わ、わかりましたっ！！)
,,
,2ｰ1,(っ……………………………………)
,,
,,【対象者の安定を確認。引き続き戦闘員化プログラムを継続します】
,,
,ヒスイ,(…………………………………)
,,
H46号→えいちよんじゅうろくごう,,【以後対象者を“下級戦闘員H46号”と呼称します。以後自身の事はH46号と呼称するように。】
,,
,,(えっ……H……46号？)
,,
,2ｰ2,バチバチバチッ！！
,,
,,(ひあっ！？)
,,
,,【命令には迅速な返答を】
,,
,,(―――は、はいっ、下級戦闘員H46号、了解いたしました！)
,,
,,【下級戦闘員の返事は全て絶対の肯定を表す“キィーーーーーッ”です。それ以外の発声は禁止されます。】
,,
,ヒスイ,(………は？え？きー！？何？)
,,
,,バチバチバチッ！！
,,
,,【命令には迅速な返答を】
,,
,,(き、キィーーーッ！！)
,,(っ、ううっ……なにこの酷い挨拶……！？これが戦闘員！？)
,,【よろしい。それではフォーレン財団戦闘員としての絶対規則を伝達します。一言一句完全に暗唱しなさい。】
,,
,,(き、き――――！)
,,
,,【第一条：フォーレン財団へ絶対の忠誠を誓い、命令に絶対服従する事】
,,
,,(っ、………フォーレン財団へ絶対の忠誠を…誓い、命令に絶対服従する事………っ！)
,,
,Hisui story DLC　2-0,そのフレーズを頭の中で唱えたとたん、ヒスイの脳にゾクゾクと甘い電流が流れる。
,,
,ヒスイ,(……っ！？、な、なにこれっ！？、あっ！…………………。)
,,
,,【第二条：いかなる手段を使っても戦闘員の任務を遂行する事】
,,
,,(……い、いかなる手段を使っても戦闘員の任務を遂行する事！)
,,
,,パチパチパチッ！
,,
,,(んんっ♥、ま、またっ♥…これっ…脳を電気で刺激してぇ…！？)
,,
,,その言葉を頭の中で唱えるたび、先程の電流とは真逆の報酬の電流がヒスイの脳を駆け巡る。
,,
,,【第三条：恐怖と淫欲によって、財団の支配を広げる事】
,,
,,(恐怖と淫欲を拡散し、財団の支配を広げる事……♥)
,,
,,(……………はっ！？だ、駄目ですっ、素直に従っては！私は聖核戦姫っ…耐えないと……！)
,,
,,バチバチバチッ！！
,,
,,(ひうっ！？、き、キィーーーッ！！申し訳…ございませんっ！？)
,,
,,【よろしい。では繰り返します。】
,,
,,(き、きーーーーっ！)
,,
,,(第一条……フォーレン財団へ絶対の忠誠を誓い、命令に絶対服従する事………っ！！)
,暗転,
,,そしてヒスイへの洗脳プログラムはしばらく続き―――
,,
,ヒスイ,(第一条：フォーレン財団へ絶対の忠誠を誓い、命令に絶対服従する事。)
,,
,,(第二条：いかなる手段を使っても戦闘員の任務を遂行する事。）
,,
,,(第三条：恐怖と淫欲によって、財団の支配を広げる事。)
,,
,,【対象者の10分間の自我の未検出を確認。これよりフェーズ2に移行します。】
,,
,ヒスイ,(キィ―――――ッ！)
,,
,,ヒスイは頭の中で下級戦闘員の叫び声をあげる
,,
,,そしてヒスイの周りからロボットアームが出現し、ヒスイへ戦闘員のスーツを着用させる
,,
,Hisui story DLC2-3,【スーツ着用完了。これより最終加工工程へ移行します。】
,,
,,【性欲の増強および記憶の消去による人格矯正を行い、対象を完全に戦闘員へと変換します。】
,,
,ヒスイ,(キィィ…………はっ！？ま、まって…記憶の消去！？だ、駄目っ！？)
,,
,,(戦闘員…なんかにならないっ…私は聖核戦姫っ！、それだけは忘れちゃ――――っ！！)
,,
,Hisui story DLC2-4,バチバチバチバチッッッッ！！
,,
,,記憶消去が始まり、ヒスイの頭の中に電流が流れる。
,,
,,(ひっぎゅうううううっっ！？)
,,
,,【対象者の記憶の消去及び性欲の増幅を実施中。対象者は直ちに思考を停止しなさい。】
,,
,,(ううっ！、駄目っ、これだけは…ッ絶対…抵抗しなきゃっ！！)
,,
,,(ダイヤさんと約束したのっ…！私を信じてくれたから…っ！)
,,
,,バチバチバチッ！！
,,
,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】
,,
,,(お゛っっ！？♥♥、んっ♥、んああっ♥♥！！！)
,,
,,(ん゛あっ♥だ、だめぇ…っ♥！、私は聖核戦姫っ…♥この程度の洗脳なんてっ…！)
,,
,,バチバチバチッ！！
,,
,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】
,,
,,(ひぎゅううううっ♥！？、わ、わたしはっ、負け…ないっ♥！！！)
,,
,,バチバチバチッ！！
,,
,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】
,,
,,(んああっ♥、お゛っ♥、お゛ぉ…)
,,
,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】
,,
,,(………私は……っ♥)
,,
,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】
,,
,,(せい……かく……)
,,
,,(……………)
,,
,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】
,,
,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】
,,
,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】
,,
,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】
,,
,暗転,
,Hisui story DLC2-5,記憶消去が始まってから30分ほどが経ち――――
,,
,ヒスイ,(んあ゛っ♥、お゛♥、お゛ぉ♥………っ♥)
,,
,,【――――記憶消去及び性欲増強措置完了。対象者の人格矯正を終了します。】
,,
,,(んあっ……お゛♥、おわっ…た……………？)
,,
,,(わ…わたし……だ、大丈夫っ………まだ……記憶は残ってるっ…！)
,,
,,(私は……ヒスイ……“聖核戦姫”……で……)
,,
,,(潜入するために……“戦闘員になって”………。)
,,
,,【最終工程、戦闘員マスクの着用を行い戦闘員化を完了します。】
,,
,Hisui story DLC2-6,そして機械によって戦闘員のマスクが装着されると、ヒスイの見た目は完全に戦闘員へと変貌する。
,,
,,(む、むぐっ…！？)
,,
,,(こ、これがあの戦闘員達が着けていたマスク…！？顔にぴったり張り付いてるっ……！？)
,,
,,【今後下級戦闘員は許可なしにマスクを外すことは禁止されます。】
,,
,,【これにて戦闘員化プログラムを終了します。下級戦闘員H46号、返答を。】
,,
,,「き、キ―――――ッ！」
,,
,,【これより下級戦闘員H37号からH48号は部隊配属、及び戦闘訓練を行います。】
,,
,,【拘束を解除した後速やかに戦闘訓練所に移動してください。】
,,
,ヒスイ,「キ―――――ッ！」
,,
,暗転,暗転
,地下通路　背景,
,,
,ヒスイ(Hisui_sentouin_mask),(……はあ、はあ、これで洗脳は耐えきりました……よね…？)
,,
,,(体がちょっと熱いし……ちょっと下半身が…むずむずするけど……記憶も思考も大丈夫…！)
,,
,,その時部屋に一人の女性が入ってくる
,,
,005号,「……新しく配属された下級戦闘員は直ちに整列を。」
,,
,下級戦闘員,「「「「キ――――ッ！」」」」
,,
,ヒスイ,「き、キーーーッ！！」
,,
,,下級戦闘員達は敬礼して005号の前に整列する
,,
,005号,「私は当部隊隊長及び戦闘訓練担当のクローン戦闘員005号です。私の命令には絶対に従うように。」
,,
,ヒスイ＆下級戦闘員,「「「「キ――――ッ！」」」」
,,
,ヒスイ,(コイツっ、聖核戦姫のクローン……)
,,
,005号,「それでは戦闘訓練を開始します。優秀な成績を収めた個体は幹部か怪人の部隊へ所属できるので全力で取り組みなさい。」
,,
DLC1-1,ヒスイ＆下級戦闘員,「「「「キ――――ッ！」」」」
,,
,ヒスイ,(………それなら！もしかしたらエレナ先輩の所へ近づけるかも…！)
,,
,,(チャンスです！優秀な戦闘員としてふるまって見せます！)
,,
,,こうして下級戦闘員46号となったヒスイの財団での潜入生活が始まるのだった。
,,
,,――――――――
,,
,,――――
,,
,,ー
,,
,,
,,
,,
,,
DLC1-2,,
,,
,,ヒスイが戦闘員として財団に潜入してから1週間ほど経ち――――
,アジト,
,那由多,「それで……脱走した聖核戦姫はまだ見つからないのでしょうか？」
,,
,京,「う～ん、そうは言ってもねえ？」
,,
,京,「逃げ出した片方はダイヤモンドだ。昔の那由多に匹敵する実力者だよ？」
,,
,,「適当な戦力を送って探させたんじゃ、各個撃破されて返り討ちに逢いかねない。」
,,
,那由多,「……私が直接探した方が早いと思うのですが。」
,,
,京,「那由多がいない時に本部が攻撃されたらどうするのさ…少なくとも私は相手したくないね。」
,,
,那由多,「…それもそうですね……ではもう一人の方は？」
,,
,京,「西園寺ヒスイ、生徒会で書記をやってた娘だね…戦闘力的にはこっちは大した脅威にはならなさそうだ。」
,,
,那由多,「そういえばそんなのもいた気がしますね…あまり記憶には残っていないですが。」
,,
,京,「二人がどこにいるのかは……まだ分からないけど。」
,,
,京,「…………案外近くに隠れてたりして。」
,,
,暗転,
,,
,,財団戦闘訓練施設――――
,,
,H46号(ヒスイ)(立ち絵下級戦闘員),「キィーーーーーーッ！！」
,,
,,ドカッ！ドカッ！
,,
,005号,「H46号、そこまで。」
,,
,,「戦闘テストは……今回もH46号が1番ですね。これなら十分戦闘でも役に立てるでしょう。」
,,
,H46号,「キィーーーーーーッ！ありがとうございます！」
,,
,,(ふうっ、まあ私は聖核戦姫ですし…このくらい余裕ですね！)
,,
,,「…この成績であれば上級幹部部隊への配属もありえるかもしれません。」
,,
,,(上級幹部部隊…！そこならエレナ先輩に近づけるかも…！)
,,
,H46号,「キィーーーーーーッ！H46号、上級幹部部隊への配属を希望します！更に財団に尽くします！」
,,
,005号,「…ふむ、素晴らしい忠誠心です。いいでしょう、H46号の上級訓練施設への推薦を行いましょう。」
,,
,H46号,「キィーーーーーーッ！ありがとうございます！」
,,
,,(やった！これでもっと財団にっ……じゃなくてエレナ先輩に……！)
,,
,,(…………私…今何を考えて…？……この前機械にいろいろされた影響ですか…？)
,,
,,(………最近ずっと体も熱くて変な感じがしますし……ううっ、演技とはいえ染まらないように気を付けないと……！)
,,
,,(とはいえ私は今は下級戦闘員…エレナ先輩に近づくためにも目の前のことに集中しないとですね……！)
,,
,暗転,
,,
,,後日、上級訓練施設にて――――
,,
,005号,「これより下級戦闘員特別訓練を開始します」
,,
,下級戦闘員＆H46号,「「「「「キィーーーーーーッ！」」」」」
,,
,005号,「ここに集められたのは忠誠心が高く、戦闘面で優秀な成績を収めた者達…。」
,,
,,「ですがフォーレン財団下級戦闘員の仕事は戦闘のみではありません。」
,,
,,「下級戦闘員規則3条、【第三条：恐怖と淫欲を拡散し、財団の支配を広げる事】」
,,
,,「というわけで、皆さんには今から男性戦闘員相手に誘惑の訓練を行ってもらいます。」
,,
,H46号,(誘惑っ…！え、それって…！？)
,,
,,「これも上級部隊選抜の評価となるので全力で取り組むように。」
,,
,下級戦闘員,「「「「「キィーーーーーーッ！」」」」」
,,
,H46号,「き、キィーーーーーーッ！」
,,
,,(っ、男性戦闘員相手にって…ちょっとまって…っ！！)
,,
,暗転,
,,
,Hisui story DLC3ｰ1,
,ヒスイ,(うううっ…まさこんな事になるなんて……)
,,
,,部屋の中では何人もの女戦闘員達が男戦闘員への性奉仕をしている
,,
,,ヒスイも誘惑戦術の訓練として男戦闘員のものを自身の胸に挟んでいた
,,
,ヒスイ,(男の人のコレ…初めて見たけど…………ううっ……気持ち悪い………）
,,
,,(でもこれも作戦を遂行するためっ…！手段は選んでられないっ！)
,,
,男戦闘員,「ははっ、研修とやらでチンポしゃぶって貰えるんだからいい身分だぜ！おら、早くしてくれ。」
,,
,ヒスイ,「き、キーーーッ！！」
,,
,ヒスイ,(ううっ…最悪っ……！)
,,
,,(……しかも戦闘員の“コレ”絶対大きいよね……見たことないけどっ……)
,,
,,(っていうか私っ、…コレをどうすれば………っ！？)
,,
,男戦闘員,「おいH46号、いつまで待たせるつもりだ？」
,,
,ヒスイ,「き、キーーーッ！申し訳ありません！」
,,
,,(っ、作戦のためっ、やるしかない…っ！)
,,
,,そしてヒスイは戦闘員のチンポを舐め始める
,,
,Hisui story DLC3-2,チロッ…ピチャッ…チロチロッ……
,,
,ヒスイ,(っ、凄く熱くて…ドクドクしてるっ…ううっ…)
,,
,,チロチロッ……チュルッ…
,,
,,(うぅ～～～気持ち悪いっ……、けどっ、我慢しなきゃっ……！)
,,
,,「チロッ…戦闘員様っ…ろうれすかっ……」
,,
,男戦闘員,「……あぁ？ふざけてんのか？」
,,
,,「何下級戦闘員が恥ずかしがってんだ？また洗脳装置に送り込まれたいか？」
,,
,ヒスイ,「き、キーーーッ！申し訳ありませんっ！」
,,
,男戦闘員,「下級戦闘員のフェラに質は求めてねえんだよ！もっと雑にチンポしゃぶれ！」
,,
,ヒスイ,「き、キーーーッ！！」
,,
,,(っ、恥ずかしがってる場合じゃないっ！怪しまれないように…やらないとっ！)
,,
,Hisui story DLC3-3,ジュボッッッ！！！
,,
,,ヒスイは勢いよく戦闘員の大きなチンポを口に咥える
,,
,ヒスイ,(おえっ…、味と臭いが口の中に広がって…最悪っ…！)
,,
,Hisui story DLC3-4,(でも…これを…射精…？させなきゃいけなくて……っ！)
,,
,,(ええいっ、これも聖核戦姫と市民の平和のためっ！やるしかないッ！)
,,
,,そしてヒスイは唇に力を入れ、激しく頭を前後させて戦闘員のチンポをしごいていく。
,,
,Hisui story DLC3-5,ジュポッ！ジュポッ！ジュポッ！ジュルルルッ！
,,
,,(ううっ、唇にごつごつしたのが当たって…気持ち悪いっ)
,,
,,(しかも……体の奥が……熱いっ………)
,,
,,ジュルルルッ♥、ズゾゾゾッ♥、チュプッ♥、ジュルルルッ♥
,,
,,ジュポッ！ジュルッ！ジュポッ！ジュルルルッ♥、チュポッ♥！
,Hisui story DLC3-7,
,ヒスイ,「ジュルルルッ♥、ジュポッ♥、ジュポッ♥、いぃーーーっ！ろうれすかっ！」
,,
,戦闘員,「うおっ、いきなりすげえフェラだ、やりゃあできるじゃねえか！」
,,
,ヒスイ,「！！、いぃーーーっ！！ありあとうごらいますっ！」
,,
,,ジュポッ！ジュルルッ！ジュポッ！ジュルルッ♥、チュポッ！
,,
,,ジュルルルッ♥、ジュルッ！。ジュボッ！ジュボッ！ズルルルルッ！！
,,
,戦闘員,「あ～まじでいいわ。H46号だったか…チンポしゃぶる才能あるんじゃねえか？」
,,
,H46号(ここで変わる),「じゅぷっ♥！、いぃーーーーーっ！！」
,,
,,上位の戦闘員に褒められると、H46号は喜びを感じてしまう。
,,
,,(っ、まあ私は優秀…ですからっ！他の戦闘員にできる事くらい私には楽勝です！)
,,
,,(はあっ♥……本当はこんな事したくないですが……これも任務のためっ♥、全力でしゃぶりますっ♥！)
,,
,,H46号は戦闘員のチンポを更に激しく口で愛撫していく。
,,
,,ジュルルッ♥、ジュポッ♥、ジュルルルッ♥、ズゾゾゾッ♥！！
,,
,,グポッ♥、ジュポッ♥、ジュポッ♥、ジュルルルッ♥！！
,,
,,(ふふっ♥、どうですかっ♥、私のおちんぽフェラ…♥)
,,
,,(私は生徒会の時から課題に対していい成績を取ることは得意でしたからっ…！)
,,
,,ジュルルルッ♥、ジュポッ♥、ジュポッ♥！ジュルルルッ♥、ジュポッ♥！！！
,,
,Hisui story DLC3-6,(当然……フェラご奉仕訓練でもっ♥、最優秀の成績を取って見せますっ♥！)
,,
,,ジュルルルッ♥、ジュプッ、ジュププッ♥！
,,
,,(先端部分の反応が良いようですから…ここも重点的に舌で舐めて…♥)
,,
,,ジュルッ！、ジュプッ♥、チュロロロっ♥！！ジュポッ♥
,,
,,ジュポッ♥、ジュポポッ♥、ジュルルルッ♥！！！
,,
,戦闘員,「うおっ、コイツ下級戦闘員のくせにっ、捕まえた聖核戦姫にしゃぶらせてるみてえなフェラしやがって！」
,,
,H46号,(ジュルッ♥、私は…聖核戦姫ですけどねっ♥、…ていうか他の聖核戦姫の子達にもこんな事をッ！)
,,
