Key,Comment,Japanese,Japanese_Steam,English
Dialog.Chapter3-1-38,,「いや、そうでなくても生徒会長が帰ってくるまで様子を見た方がいい気がする」,「いや、そうでなくても会長が帰ってくるまで様子を見た方がいい気がする」,"""'No, even if you didn't, I feel like I should wait and see how things go until the student council president gets back.'"""
,,,,
Dialog.Chapter3-1-39,エレナ,「……生徒会長を？財団の残党ごときにあの大きな戦力が必要だと？」,「……会長を？財団の残党ごときにあの大きな戦力が必要だと？」,"""...... the student council president? You think we need a force that big for what's left of the Foundation?"""
,,,,
Dialog.Chapter3-1-40,京,「まあ正面から戦えばエレナ一人でも半日もあれば壊滅させられると思うけど…」,「まあ正面から戦えばエレナ一人でも半日もあれば壊滅させられると思うけど…」,"""Well, if we fight them head-on, I think Erena alone could destroy them in half a day..."""
,,,,
Dialog.Chapter3-1-41,,「少なくとも最近の財団の行動パターンは明らかに以前と違う。新人とはいえ聖核戦姫が誘拐されるなんてことはこれまで無かったし」,「少なくとも最近の財団の行動パターンは明らかに以前と違う。新人とはいえ聖核戦姫が誘拐されるなんてことはこれまで無かったし」,"""But the Foundation's recent pattern of behavior is clearly different from what it used to be. There has never been a kidnapping of the Seikaku Princess, even though she is a newcomer."""
,,,,
Dialog.Chapter3-1-42,,「……こういうのは追い詰められた時が一番恐ろしいっていうし。確実に仕留められるまで準備した方がいい」,「……こういうのは追い詰められた時が一番恐ろしいっていうし。確実に仕留められるまで準備した方がいい」,"""They say these people are the most terrifying when they're cornered. You better be prepared until you're sure you've got them."""
,,,,
Dialog.Chapter3-1-43,エレナ,「…心配のし過ぎでは？あの小さな組織にこちらの全戦力を投入するのです。むしろ過剰戦力でしょう」,「…心配のし過ぎでは？あの小さな組織にこちらの全戦力を投入するのです。むしろ過剰戦力でしょう」,"""You worry too much, don't you? We are going to put all our forces into that small organization. It's more like overstrength."""
,,,,
Dialog.Chapter3-1-44,,「そして生徒会長不在時に起きた問題は私の責任で対処します」,「そして会長不在時に起きた問題は私の責任で対処します」,"""And any problems that arise in the absence of the student council president are my responsibility to deal with."""
,,,,
Dialog.Chapter3-1-45,,「生徒会長に比べて、私では財団相手に力不足でしょうか？」,「会長に比べて、私では財団相手に力不足でしょうか？」,"""Am I not a strong enough opponent for the Foundation compared to the student council president?"""
,,,,
Dialog.Chapter3-1-46,京,「…まあ、エレナの強さは全然うたがってないけどさ…」,「…まあ、エレナの強さは全然うたがってないけどさ…」,"""Well, I'm not at all doubting Erena's strength..."""
,,,,
Dialog.Chapter3-1-47,,その時、ピコンという音と共に執務室のモニターに連絡が入る,その時、ピコンという音と共に司令部のモニターに連絡が入る,"At that moment, a beeping sound is heard on the monitor in the office."
,,,,
Dialog.Chapter3-1-48,エレナ,「―――――！すみません、京さん。理事長から呼び出しがありました。そろそろ会話を終了します」,「―――――！すみません、京さん。レギオンの後援議員から呼び出しがありました。そろそろ会話を終了します」,"""―――――! Excuse me, Kei-san. I have received a call from the board chairman. It's time to end this conversation."""
,,,,
Dialog.Chapter3-1-49,京,「……じゃあ最後に。エレナが動いた以上財団も近いうちにこちらが攻撃を仕掛けることには感づいているはず。しばらくは身辺に注意した方がいいかも」,「……じゃあ最後に。エレナが動いた以上財団も近いうちにこちらが攻撃を仕掛けることには感づいているはず。しばらくは身辺に注意した方がいいかも」,"""...... Well then. Since you've has made your move, the foundation must have sensed that we will attack soon. We should be careful for the time being."""
,,,,
Dialog.Chapter3-1-50,エレナ,「ご忠告ありがとうございます。それでは」,「ご忠告ありがとうございます。それでは」,"""Thank you for your advice. Good bye."""
,,,,
Dialog.Chapter3-1-51,京,「……………じゃあね」,「……………じゃあね」,""".... See you."""
,,,,
,,,,
,,,,
Dialog.Chapter3-1-52,エレナ,「それで…何の用事でしょうか？この後も予定が立て込んでいますので手短にお願いします」,「それで…何の用事でしょうか？この後も予定が立て込んでいますので手短にお願いします」,"""So...what can I do for you? I have a lot of plans for the rest of the day, so please be brief."""
,,,,
Dialog.Chapter3-1-53,理事長,「ふむ。何故呼ばれたのか心当たりはないかね？」,「ふむ。何故呼ばれたのか心当たりはないかね？」,"""Hm. Do you have any idea why you were called?"""
,,,,
Dialog.Chapter3-1-54,エレナ,「……いえ。」,「……いえ。」,"""...... No."""
,,,,
Dialog.Chapter3-1-55,理事長,「ではこの動画を見ていただこう」,「ではこの動画を見ていただこう」,"""Let's take a look at this video."""
,,,,
Dialog.Chapter3-1-56,モニター画面,―――――――――――――――――――――,―――――――――――――――――――――, ―――――――――――――――――――――
,執務室,,,
Dialog.Chapter3-1-57,エレナ,「……ふう、もうこんな時間ですか……」,「……ふう、もうこんな時間ですか……」,"""...... Hu, is it that time already ......?"""
,,,,
Dialog.Chapter3-1-58,,「今日の仕事の残りは……うぅ、まだ結構ありますね…」,「今日の仕事の残りは……うぅ、まだ結構ありますね…」,"""The rest of today's work is at ...... Ugh, there's still quite a bit left to do..."""
,,,,
Dialog.Chapter3-1-59,,「………もう学校には誰も残っていませんね……。うん……………。」,「………もう司令部には誰も残っていませんね……。うん……………。」,"""There's no one left at ......... school anymore. ....... Yeah. ................"""
,Erena story 1,,,
Dialog.Chapter3-1-60,,クチュッ♥クチュッ♥クチュッ♥,クチュッ♥クチュッ♥クチュッ♥,♥...♥..♥
,,,,
Dialog.Chapter3-1-61,,誰もいない生徒会執務室の中に淫らな水音が響き渡る,誰もいない司令部の中に淫らな水音が響き渡る,The sound of lewd water echoes through the empty student council office.
,,,,
Dialog.Chapter3-1-62,エレナ,「……っ♥、はあっ♥、んっ♥、んぅ♥、んっ♥！」,「……っ♥、はあっ♥、んっ♥、んぅ♥、んっ♥！」,"""......♥, hah ♥, mmmm ♥, mmmm ♥, mmmm ♥!"""
,,,,
Dialog.Chapter3-1-63,,「まったく、はぁ♥、誰も彼も余計な問題ばかり起こしてっ♥！私はっ♥、いつになったら家に帰れるのですかっ♥！？」,「まったく、はぁ♥、誰も彼も余計な問題ばかり起こしてっ♥！私はっ♥、いつになったら家に帰れるのですかっ♥！？」,"""I'm not sure what to do! When can I go home?"""
,,,,
Dialog.Chapter3-1-64,,シュリッ♥、クチュッ♥、チュプッ♥、クチュッ♥,シュリッ♥、クチュッ♥、チュプッ♥、クチュッ♥,♥...♥..♥
,,,,
Dialog.Chapter3-1-65,,「はあっ♥、聖核戦姫の力が目覚めてからというものっ♥♥、はあっ♥、体の疼きが止まりませんっ♥」,「はあっ♥、聖核戦姫の力が目覚めてからというものっ♥♥、はあっ♥、体の疼きが止まりませんっ♥」,"""Since the power of the Seikaku Princess has been awakened, my body has been tingling."""
,,,,
Dialog.Chapter3-1-66,,「それなのにっ♥♥、仕事はこんなに増えてっ♥、はあっ♥、もうここで発散するしかないじゃないですか♥！」,「それなのにっ♥♥、仕事はこんなに増えてっ♥、はあっ♥、もうここで発散するしかないじゃないですか♥！」,"""But, I've got so much more work to do, I have no choice but to vent here!"""
,,,,
Dialog.Chapter3-1-67,,シュリッ♥、シュリッ♥、クチュッ♥、チュプッ♥、クチュッ♥,シュリッ♥、シュリッ♥、クチュッ♥、チュプッ♥、クチュッ♥," choo―choo ♥, choo―poo ♥, choo―choo ♥."
,,,,
Dialog.Chapter3-1-68,,「はぁ♥、はあっ♥、財団もっ♥、この忙しい時期にっ♥、余計な仕事をっ♥」,「はぁ♥、はあっ♥、財団もっ♥、この忙しい時期にっ♥、余計な仕事をっ♥」,"""Haa♥, haa♥, foundation too, at this busy time of the year, extra work!"""
,,,,
Dialog.Chapter3-1-69,,「あ゛～～♥、んっ♥、んうっ♥、んっ♥、んんっ♥」,「あ゛～～♥、んっ♥、んうっ♥、んっ♥、んんっ♥」,"""Aaahhh~♥, mmmm, mmmm, mmmm, mmmm, mmmm."""
,,,,
Dialog.Chapter3-1-70,,「これだけやらなきゃいけないことがあるんですからっ♥♥、生徒会室でこれくらいっ♥、はぁっ♥」,「これだけやらなきゃいけないことがあるんですからっ♥♥、司令部でこれくらいっ♥、はぁっ♥」,"""I have to do so much, so much in the student council room, haa."""
,,,,
Dialog.Chapter3-1-71,,クチュッ♥、シュリッ♥、シュリッ♥、クチュッ♥、チュプッ♥、クチュッ♥,クチュッ♥、シュリッ♥、シュリッ♥、クチュッ♥、チュプッ♥、クチュッ♥,"kuchu♥, tupu♥, kuchu♥, kuchu♥, kuchu♥."
,,,,
Dialog.Chapter3-1-72,,「う゛う～～～♥、んうっ♥♥、はぁ♥、はぁ♥………ふうっ♥…仕事に戻りますか…」,「う゛う～～～♥、んうっ♥♥、はぁ♥、はぁ♥………ふうっ♥…仕事に戻りますか…」,"""Uuuu~~♥, mmmmmm ♥♥, hah ♥, hah ♥ ......... fuh ♥... back to work, I guess..."""
,,,,
,,,,
Dialog.Chapter3-1-73,,――――――――――――――――――――――――,――――――――――――――――――――――――, ――――――――――――――――――――――――
,,,,
,執務室,,,
Dialog.Chapter3-1-74,エレナ,「――――っなぜそんな動画をっ！？」,「――――っなぜそんな動画をっ！？」,"""―――― why did you make that video?"""
,,,,
Dialog.Chapter3-1-75,理事長,「君は真面目で模範的な生徒だと思っていたのだが…残念だよ」,「君は真面目で模範的な聖核戦姫だと思っていたのだが…残念だよ」,"""I thought you were a serious and exemplary student, and I'm sorry to hear that."""
,,,,
Dialog.Chapter3-1-76,エレナ,「……盗撮ですっ！勝手にこんな動画をっ！」,「……盗撮ですっ！勝手にこんな動画をっ！」,"""...... That's creepy! You didn't have my permission!"""
,,,,
Dialog.Chapter3-1-77,理事長,「いや、私はただ君たちがちゃんと仕事をしているか確認するためにカメラを設置しただけだ」,「いや、私はただ君たちがちゃんと仕事をしているか確認するためにカメラを設置しただけだ」,"""No, I just set up the cameras to make sure you guys were doing your job properly."""
,,,,
Dialog.Chapter3-1-78,,「それに公共の場でこのような破廉恥な行為をしていたのは君だろう？」,「それに公共の場でこのような破廉恥な行為をしていたのは君だろう？」,"""'And you were the one who was committing these riotous acts in public, weren't you?"""
,,,,
Dialog.Chapter3-1-79,エレナ,「………っ！しかしっ！」,「………っ！しかしっ！」,""".........! But!"""
,,,,
Dialog.Chapter3-1-80,理事長,「できれば私も大事にはしたくないとは思っている。何せ大財閥の令嬢の君のこんな姿が世に出ることになったら大変だからね」,「できれば私も大事にはしたくないとは思っている。何せ大財閥の令嬢の君のこんな姿が世に出ることになったら大変だからね」,"""I don't want to make a big deal out of it if I can help it,"" he said. After all, it would be very difficult for the daughter of a large conglomerate to be seen in such a manner."""
,,,,
Dialog.Chapter3-1-81,エレナ,「！、…っ、焦らさずに言ってください！何が望みなのですか！？」,「！、…っ、焦らさずに言ってください！何が望みなのですか！？」,"""...Just tell me what do you want?"""
,,,,
Dialog.Chapter3-1-82,理事長,「……何、簡単なことだ。ただちょっと写真を撮らせてもらえればいい。ついでに君の性欲解消もしてあげよう」,「……何、簡単なことだ。ただちょっと写真を撮らせてもらえればいい。ついでに君の性欲の解消もしてあげよう」,"""...... What, it's easy. Just let me take a few pictures. I'll even relieve your libido while I'm at it."""
,,,,
Dialog.Chapter3-1-83,エレナ,「………っ、わかり、ました」,「………っ、わかり、ました」,"""......... o, okay."""
,,,,
Dialog.Chapter3-1-84,理事長,「グフフッ、心配することは無い、私と君だけの秘密だ」,「グフフッ、心配することは無い、私と君だけの秘密だ」,"""Hehe, don't worry, it's a secret between you and me."""
,,,,
Dialog.Chapter3-1-85,エレナ,「～～～～～ッ！」,「～～～～～ッ！」,"""～～～～～!"""
,,,,
,,,,
,,,,
Chapter 3-2,注釈,,,
,執務室,,,
Dialog.Chapter3-2-1,,夜の聖月生徒会執務室にて,夜のホーリーコア・レギオン司令部にて,At night in the office of the Seigetsu Student Council
,,,,
Dialog.Chapter3-2-2,エレナ,「………もう夜10時ですか……今日の仕事は大体終わりましたが……うぅっ」,「………もう夜10時ですか……今日の仕事は大体終わりましたが……うぅっ」,"""......... is it 10pm already? ...... I'm pretty much done with work for the day, but ...... ugh."""
,,,,
Dialog.Chapter3-2-3,,コンコンッ,コンコンッ,Knock knock
,,,,
Dialog.Chapter3-2-4,理事長,「私だ。理事長だ」,「……私だ。」,"""It's me. It's the chairman."""
,,,,
Dialog.Chapter3-2-5,エレナ,「………っ！、………………どうぞ」,「………っ！、………………どうぞ」,"""......... come in."""
,,,,
Dialog.Chapter3-2-6,理事長,「やあエレナ君。今日も遅くまで残ってお仕事か、感心だね」,「やあエレナ君。今日も遅くまで残ってお仕事か、感心だね」,"""Hello, Erena. You're working late again today, I'm impressed."""
,,,,
Dialog.Chapter3-2-7,エレナ,「……しらじらしい。あなたがいなければ今日はもっと早く帰れたのですが」,「……しらじらしい。あなたがいなければ今日はもっと早く帰れたのですが」,"""Enough of that already. I would have left earlier today if it weren't for you."""
,,,,
Dialog.Chapter3-2-8,理事長,「ぐふふ、そうだったな。では準備もできてるようだし、今日も日課の撮影に入ろうか」,「ぐふふ、そうだったな。では準備もできてるようだし、今日も日課の撮影に入ろうか」,"""He, you're not wrong. Well, then, since you seem to be ready, let's get down to our daily routine of shooting."""
,,,,
Dialog.Chapter3-2-9,エレナ,「………分かりました。……とっとと終わらせましょう」,「………分かりました。……とっとと終わらせましょう」,"""I understand .......... Let's ...... get this over with."""
,,,,
Dialog.Chapter3-2-10,,「着替えますので後ろを向いていてください。絶対に振り向かないでくださいね！」,「着替えますので後ろを向いていてください。絶対に振り向かないでくださいね！」,"""Please turn around so I can change my clothes. Don't ever turn around!"""
,,,,
Dialog.Chapter3-2-11,,――――――――――――――――――――,――――――――――――――――――――, ――――――――――――――――――――
,,,,
Dialog.Chapter3-2-12,Erena　2ｰ1,エレナが制服を脱ぐと、下着の代わりにサイズの合っていないスクール水着が現れる,エレナが制服を脱ぐと、下着の代わりにサイズの合っていない競泳水着が現れる,Erena removes her uniform to reveal an ill-fitting school swimsuit in place of underwear.
,,,,
Dialog.Chapter3-2-13,理事長,「おおっ！すばらしい！」,「おおっ！すばらしい！」,"""Oh, that's wonderful! That's wonderful!"""
,,,,
Dialog.Chapter3-2-14,エレナ,「うぅっ～～～～！仮にも生徒にこんな破廉恥な格好をさせて！それでも教育者ですか！？」,「うぅっ～～～～！仮にも財閥の令嬢である私にこんな破廉恥な格好をさせて！それでも大人ですか！？」,"""Ugh. ～～～～! To Let your students dress up in such a disgusting way! Are you still an educator?"""
,,,,
Dialog.Chapter3-2-15,理事長,「全裸だった君がいまさら何を言うのかね？それに恥じることは無い。実によく似合っている」,「全裸だった君がいまさら何を言うのかね？それに恥じることは無い。実によく似合っている」,"""You were completely naked and now you say what? You really look good."""
,,,,
Dialog.Chapter3-2-16,エレナ,「っ、早く終わらせてください！こんな恥ずかしい恰好……！」,「っ、早く終わらせてください！こんな恥ずかしい恰好……！」,"""I'm so embarrassed to be dressed like this ! Such an embarrassing outfit ......!"""
,,,,
Dialog.Chapter3-2-17,理事長,「まあそう焦るな。この姿しっかり映さないともったいない」,「まあそう焦るな。この姿しっかり映さないともったいない」,"""Well there is no need to hurry. It would be a shame if we don't get a good shoot for this."""
,,,,
Dialog.Chapter3-2-18,理事長,「このスク水は今日学校で制服の下にずっと着ていたのかね？」,「この競泳水着は今日の仕事中に制服の下にずっと着ていたのかね？」,"""'Have you been wearing this scrubs all day today at school under your uniform?'"""
,,,,
Dialog.Chapter3-2-19,エレナ,「……ええ。朝起きてから一日中下着代わりに過ごしました」,「……ええ。朝起きてから一日中下着代わりに過ごしました」,"""'......Yes. I woke up this morning and spent the rest of the day with this."""
,,,,
Dialog.Chapter3-2-20,エレナ,「この水着がサイズの合わなかったせいで、体が締め付けられて今日は非常に不愉快でした！」,「この水着のサイズが合わなかったせいで、体が締め付けられて今日は非常に不愉快でした！」,"""I was very uncomfortable today because these swimsuits didn't fit me right, and they made me feel constricted!'"""
,,,,
Dialog.Chapter3-2-21,理事長,「ぐふふ…そうかそうか、それは悪いことをしたなぁ？」,「ぐふふ…そうかそうか、それは悪いことをしたなぁ？」,"""Ggghhhh...oh yeah, that's a bad thing to do, huh?"""
,,,,
Dialog.Chapter3-2-22,,「では一日中着てエレナちゃんの匂いが染みついたスク水、しっかり写真に撮らせてもらおうか」,「では一日中着てエレナちゃんの匂いが染みついた競泳水着、しっかり写真に撮らせてもらおうか」,"""Then let's take a good picture of the scrubs that Erena-chan's scent soaks up after wearing them all day."""
,,,,
Dialog.Chapter3-2-23,エレナ,「………っ、勝手にしてくださいっ！(～～～コイツっ、やっぱり本当に気持ち悪いっ！)」,「………っ、勝手にしてくださいっ！(～～～コイツっ、やっぱり本当に気持ち悪いっ！)」,"""........ do whatever you want! (~~~ this guy is still really creepy!)"""
,,,,
Dialog.Chapter3-2-24,,パシャッ！パシャッ！,パシャッ！パシャッ！,Pasha! Pascha! (Shuttle sound)
,,,,
Dialog.Chapter3-2-25,理事長,「ほらもっと笑って！せっかくのかわいい顔がもったいない！」,「ほらもっと笑って！せっかくのかわいい顔がもったいない！」,"""Smile more! You're wasting your pretty face!"""
,,,,
Dialog.Chapter3-2-26,,コンコンッ,コンコンッ,Knock-knock
,,,,
Dialog.Chapter3-2-27,,突然生徒会執務室のドアからノックが聞こえる,突然司令部のドアからノックが聞こえる,"Suddenly, there's knock at the door of the student council office."
,,,,
,,,,
,,,,
Dialog.Chapter3-2-28,エレナ,「…………なっ、こんな時間に誰がっ！！？」,「…………なっ、こんな時間に誰がっ！！？」,"""............who the hell is that at this hour?"""
,,,,
Dialog.Chapter3-2-29,女生徒,「エレナ先輩私です！緊急の用事があるので入ってもよろしいでしょうか？」,「エレナ先輩私です！緊急の用事があるので入ってもよろしいでしょうか？」,"""Erena-senpai, it's me! May I come in, I have an urgent matter to attend to?"""
,,,,
Dialog.Chapter3-2-30,,突然の来客にエレナの表情が青ざめる,突然の来客にエレナの表情が青ざめる,Erena's expression turns pale at the sudden visitor.
,,,,
Dialog.Chapter3-2-31,エレナ,(まずいっ、後輩にこんな姿見られたらっ！),(まずいっ、後輩にこんな姿見られたらっ！),"(Oh no, if my juniors see me like this!)"
,,,,
