Key,Comment,Japanese,Japanese
Record.Nursery-14,クローン戦闘員,「……ええ、こうなってしまえば聖核戦姫もただの肉袋ですね」,「……ええ、こうなってしまえば聖核戦姫もただの肉袋ですね」
,,,
Record.Nursery-15,,ズルッ、ズルルッ！,ズルッ、ズルルッ！
,,,
Record.Nursery-16,,突然、部屋全体の触手と肉塊が収縮と弛緩を繰り返し始める,突然、部屋全体の触手と肉塊が収縮と弛緩を繰り返し始める
,,,
Record.Nursery-17,聖核戦姫,「「「ん゛ん～～～っ！！」」」,「「「ん゛ん～～～っ！！」」」
,,,
Record.Nursery-18,クローン戦闘員,「おや、苗床の出産が始まりましたね」,「おや、苗床の出産が始まりましたね」
,,,
Record.Nursery-19,,聖核戦姫達は体中を肉塊によって押され、出産を促される,聖核戦姫達は体中を肉塊によって押され、出産を促される
,,,
Record.Nursery-20,,ビクンッ、ビクンッ！,ビクンッ、ビクンッ！
,,,
Record.Nursery-21,聖核戦姫,「「「ん゛んん～～っ♥♥♥！！！」」」,「「「ん゛んん～～っ♥♥♥！！！」」」
,Record nursery 2,,
Record.Nursery-22,,ドバッ！ブルルルッ！ビシャッ♥！,ドバッ！ブルルルッ！ビシャッ♥！
,,,
Record.Nursery-23,聖核戦姫,「「「ん゛んんっっっ～～っ♥♥！！」」」,「「「ん゛んんっっっ～～っ♥♥！！」」」
,,,
Record.Nursery-24,,至る所の聖核戦姫達の胎内から大小さまざまな触手が飛び出す,至る所の聖核戦姫達の胎内から大小さまざまな触手が飛び出す
,,,
Record.Nursery-25,,グチュッ！ドバッ！ビクンッ！,グチュッ！ドバッ！ビクンッ！
,,,
Record.Nursery-26,クローン戦闘員,「触手の出産を確認。今回はなかなか大きなサイズが生まれていますね」,「触手の出産を確認。今回はなかなか大きなサイズが生まれていますね」
,,,
Record.Nursery-27,聖核戦姫,「「「ん゛んん～～っ♥♥♥！！！」」」,「「「ん゛んん～～っ♥♥♥！！！」」」
,,,
Record.Nursery-28,,プシャッ、プシャッ、プシャッ！,プシャッ、プシャッ、プシャッ！
,,,
Record.Nursery-29,クローン戦闘員,「ふう、あらかた出産は落ち着きましたかね」,「ふう、あらかた出産は落ち着きましたかね」
,,,
Record.Nursery-30,クローン戦闘員,「……ところでこの苗床達は今後どうなるのでしょうか？」,「……ところでこの苗床達は今後どうなるのでしょうか？」
,,,
Record.Nursery-31,クローン戦闘員,「ああ、最終的には聖核が触手に完全に同化して生殖器官、この苗床の一部となります」,「ああ、最終的には聖核が触手に完全に同化して生殖器官、この苗床の一部となります」
,,,
Record.Nursery-32,クローン戦闘員,「なるほど…しかしここまでくると少し可哀そうですね」,「なるほど…しかしここまでくると少し可哀そうですね」
,,,
Record.Nursery-33,クローン戦闘員,「いえ、実際は苗床達のドーパミン、オキシトシン的幸福度は非常に高いです」,「いえ、実際は苗床達のドーパミン、オキシトシン的幸福度は非常に高いです」
,,,
Record.Nursery-34,クローン戦闘員,「生殖器官となる時まで快楽の時間を過ごせるのです。彼女達も幸せでしょう」,「生殖器官となる時まで快楽の時間を過ごせるのです。彼女達も幸せでしょう」
,,,
Record.Nursery-35,クローン戦闘員,「なるほど、安心しました。では本日の観察はこれで終了ということで……」,「なるほど、安心しました。では本日の観察はこれで終了ということで……」
,Record nursery 3,,
Record.Nursery-36,,苗床部屋から二人のクローン戦闘員が出て行き、部屋は暗闇に包まれる,苗床部屋から二人のクローン戦闘員が出て行き、部屋は暗闇に包まれる
,,,
Record.Nursery-37,聖核戦姫,「「「ん゛んん～～っ♥♥♥！！！」」」,「「「ん゛んん～～っ♥♥♥！！！」」」
,,,
Record.Nursery-38,,出産が終わった聖核戦姫達はすぐに精触手によって種付けが行われる,出産が終わった聖核戦姫達はすぐに精触手によって種付けが行われる
,,,
Record.Nursery-39,,ズルルッ、ズチュ、ズルルッ,ズルルッ、ズチュ、ズルルッ
,,,
Record.Nursery-40,,聖核戦姫達は暗闇の中出産を繰り返し、全身が同化して完全な苗床になるまで快楽の中に囚われるのだった,聖核戦姫達は暗闇の中出産を繰り返し、全身が同化して完全な苗床になるまで快楽の中に囚われるのだった
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Record Akiho paizuri,注釈,明穂闇堕ち後パイズリ(実装：Chapter2ｰ3クリア後),明穂闇堕ち後パイズリ(実装：Chapter2ｰ3クリア後)
Record.AkihoPaizuri,,【爆乳怪人明穂の淫靡な日常】,【爆乳怪人明穂の淫靡な日常】
Record.AkihoPaizuri-1,,明穂が身も心も完全に堕ち、財団の一員となった日常の一幕,明穂が身も心も完全に堕ち、財団の一員となった日常の一幕
,Record akiho paizuri,,
Record.AkihoPaizuri-2,明穂,「ふふっ♥ど～ですか戦闘員さんっ♥爆乳怪人明穂の改造おっぱいっ♥」,「ふふっ♥ど～ですか戦闘員さんっ♥爆乳怪人明穂の改造おっぱいっ♥」
,,,
Record.AkihoPaizuri-3,,「戦闘員さんの改造デカちんぽも簡単に包めちゃいますっ♥！」,「戦闘員さんの改造デカちんぽも簡単に包めちゃいますっ♥！」
,,,
Record.AkihoPaizuri-4,戦闘員,「うおっ、すげえ質量と圧迫感だっ！」,「うおっ、すげえ質量と圧迫感だっ！」
,,,
Record.AkihoPaizuri-5,明穂,「ふふっ、戦闘員の皆さんに毎日おっぱい調教されてこんなになっちゃいましたぁ♥♥」,「ふふっ、戦闘員の皆さんに毎日おっぱい調教されてこんなになっちゃいましたぁ♥♥」
,,,
Record.AkihoPaizuri-6,,そこにかつての純朴で朗らかな表情はなく、明穂は堕ちた妖艶な笑みを浮かべる,そこにかつての純朴で朗らかな表情はなく、明穂は堕ちた妖艶な笑みを浮かべる
,,,
Record.AkihoPaizuri-7,,「明穂のおっぱい毎日搾ってくれる皆さんのためにっ♥、今日は明穂の爆乳おっぱいでパイズリご奉仕しますっ♥」,「明穂のおっぱい毎日搾ってくれる皆さんのためにっ♥、今日は明穂の爆乳おっぱいでパイズリご奉仕しますっ♥」
,Record akiho paizuri２,,
Record.AkihoPaizuri-8,,そして明穂は巨大な爆乳を体全体を使って動かしてちんぽへの奉仕を始める,そして明穂は巨大な爆乳を体全体を使って動かしてちんぽへの奉仕を始める
,,,
Record.AkihoPaizuri-9,,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥
,,,
Record.AkihoPaizuri-10,戦闘員,「ぐっ、デカチチがゴムボールみたいに揺れてすげえ迫力だなっ」,「ぐっ、デカチチがゴムボールみたいに揺れてすげえ迫力だなっ」
,,,
Record.AkihoPaizuri-11,明穂,「ふふっ♥♥私はおっぱい怪人ですからっ♥、このくらい簡単ですッ♥」,「ふふっ♥♥私はおっぱい怪人ですからっ♥、このくらい簡単ですッ♥」
,,,
Record.AkihoPaizuri-12,,明穂は聖核戦姫の身体能力を全てパイズリに使い、目の前のチンポをしごくことに全神経を集中させる,明穂は聖核戦姫の身体能力を全てパイズリに使い、目の前のチンポをしごくことに全神経を集中させる
,,,
Record.AkihoPaizuri-13,,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥
,,,
Record.AkihoPaizuri-14,戦闘員,「っ、しかしノーハンドパイズリとは舐められたもんだなっ！」,「っ、しかしノーハンドパイズリとは舐められたもんだなっ！」
,,,
Record.AkihoPaizuri-15,明穂,「んっ♥、んっ♥、そうじゃなくてっ♥明穂のおっぱいっ♥、大きすぎて手で持てないんですよっ♥」,「んっ♥、んっ♥、そうじゃなくてっ♥明穂のおっぱいっ♥、大きすぎて手で持てないんですよっ♥」
,,,
Record.AkihoPaizuri-16,,「でもっ♥、こんなに大きくしてくれたのは戦闘員の皆様のおかげだからっ♥」,「でもっ♥、こんなに大きくしてくれたのは戦闘員の皆様のおかげだからっ♥」
,,,
Record.AkihoPaizuri-17,,「っ♥、全力でパイズリしてご奉仕しますっ♥♥！」,「っ♥、全力でパイズリしてご奉仕しますっ♥♥！」
,,,
Record.AkihoPaizuri-18,,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥
,,,
Record.AkihoPaizuri-19,戦闘員,「ぐうっ！すげえ乳圧でもう出ちまいそうだっ！」,「ぐうっ！すげえ乳圧でもう出ちまいそうだっ！」
,,,
Record.AkihoPaizuri-20,明穂,「ふふっ♥、出してくださいっ♥、戦闘員様の改造特濃ザーメンッ♥♥」,「ふふっ♥、出してくださいっ♥、戦闘員様の改造特濃ザーメンッ♥♥」
,,,
Record.AkihoPaizuri-21,,明穂は身体全体をくねらし、爆乳を激しく震わせて射精を促す,明穂は身体全体をくねらし、爆乳を激しく震わせて射精を促す
,,,
Record.AkihoPaizuri-22,,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥,ダパンッッ♥♥、ダパンッ♥♥、ダパンッ♥♥
,,,
Record.AkihoPaizuri-23,戦闘員,「っ、ぐうっ、出すぞ！」,「っ、ぐうっ、出すぞ！」
,,,
Record.AkihoPaizuri-24,明穂,「んっ♥、出してくださいっ♥明穂の顔とおっぱいにぶちまけてっ♥♥！」,「んっ♥、出してくださいっ♥明穂の顔とおっぱいにぶちまけてっ♥♥！」
,,,
Record.AkihoPaizuri-25,,そして戦闘員のチンポから明穂の眼前に精液が放たれる,そして戦闘員のチンポから明穂の眼前に精液が放たれる
,Record akiho paizuri３,,
Record.AkihoPaizuri-26,,ドプッ、ビュルルルッルッ！,ドプッ、ビュルルルッルッ！
,,,
Record.AkihoPaizuri-27,明穂,「あんっ♥、ザーメンきたあっ♥♥！」,「あんっ♥、ザーメンきたあっ♥♥！」
,,,
Record.AkihoPaizuri-28,,「ふふっ♥凄い勢いっ♥、尿道に残った精液もこうやって♥」,「ふふっ♥凄い勢いっ♥、尿道に残った精液もこうやって♥」
,,,
Record.AkihoPaizuri-29,,明穂は両乳を手で押して圧力を加え、戦闘員を最後まで射精へと促す,明穂は両乳を手で押して圧力を加え、戦闘員を最後まで射精へと促す
,,,
Record.AkihoPaizuri-30,,「ほらっ♥、精液全部だしてくださいっ♥」,「ほらっ♥、精液全部だしてくださいっ♥」
,,,
Record.AkihoPaizuri-31,戦闘員,「っ、ぐうっ！」,「っ、ぐうっ！」
,Record akiho paizuri4,,
Record.AkihoPaizuri-32,,ビュクッ、ドクッ,ビュクッ、ドクッ
,,,
Record.AkihoPaizuri-33,明穂,「ふふっ♥、沢山でましたねっ♥♥ごちそうさまでしたっ♥」,「ふふっ♥、沢山でましたねっ♥♥ごちそうさまでしたっ♥」
,,,
Record.AkihoPaizuri-34,,「じゃあ次は待ってる皆さん……っ♥」,「じゃあ次は待ってる皆さん……っ♥」
,,,
Record.AkihoPaizuri-35,,「みんな明穂がザーメン抜いてあげますからっ♥順番に並んでくださいっ♥」,「みんな明穂がザーメン抜いてあげますからっ♥順番に並んでくださいっ♥」
,,,
Record.AkihoPaizuri-36,戦闘員,「ったく、あれだけ動いてたのにすげえ体力だなっ」,「ったく、あれだけ動いてたのにすげえ体力だなっ」
,,,
Record.AkihoPaizuri-37,,「ふふっ♥明穂は聖核戦姫からおっぱい怪人になったのでっ♥！」,「ふふっ♥明穂は聖核戦姫からおっぱい怪人になったのでっ♥！」
,,,
Record.AkihoPaizuri-38,,「パイズリには自信がありますからっ♥♥、皆さん精液沢山絞っちゃいますっ♥」,「パイズリには自信がありますからっ♥♥、皆さん精液沢山絞っちゃいますっ♥」
,,,
Record.AkihoPaizuri-39,,明穂は胸で何人もの戦闘員を果てさせ、事後は戦闘員に母乳を搾り取られるのだった,明穂は胸で何人もの戦闘員を果てさせ、事後は戦闘員に母乳を搾り取られるのだった
,,,
Record Akiho ＆　Rikka,注釈,エンドコンテンツ明穂＆六花,エンドコンテンツ明穂＆六花
Record.Final,,【最後の二人の聖核戦姫】,【最後の二人の聖核戦姫】
Record.Final-1,,聖核戦姫が敗北し、生徒会が完全に制圧してからしばらくして,聖核戦姫が敗北し、レギオンが完全に陥落してからしばらくして
,背景　街中の横断歩道,,
Record.Final-2,戦闘員,「オラオラオラッ！」,「オラオラオラッ！」
,,,
Record.Final-3,,街中で財団の戦闘員が暴れまわる,街中で財団の戦闘員が暴れまわる
,,,
Record.Final-4,戦闘員,「ははっ、もう聖核戦姫はいねえからなっ、好きに暴れさせてもらうぜっ！」,「ははっ、もう聖核戦姫はいねえからなっ、好きに暴れさせてもらうぜっ！」
,,,
Record.Final-5,,その時戦闘員の前に二人の少女が現れる,その時戦闘員の前に二人の少女が現れる
,,,
Record.Final-6,明穂,「フォーレン財団の戦闘員ッ！そこまでよっ！」,「フォーレン財団の戦闘員ッ！そこまでよっ！」
,,,
Record.Final-7,六花,「街中での破壊行為……私達が許さない！」,「街中での破壊行為……私達が許さない！」
,,,
Record.Final-8,戦闘員,「ああ？なんだぁ？聖核戦姫は全員負けて捕らえられたはずだが？」,「ああ？なんだぁ？聖核戦姫は全員負けて捕らえられたはずだが？」
,,,
Record.Final-9,明穂,「っ、聖核戦姫は…負けないからっ！」,「っ、聖核戦姫は…負けないからっ！」
,,,
Record.Final-10,六花,「そう……私達は絶対諦めない！」,「そう……私達は絶対諦めない！」
,,,
Record.Final-11,戦闘員,「何を言ってるのか分からねえが…いいぜ、相手してやるよ」,「何を言ってるのか分からねえが…いいぜ、相手してやるよ」
,,,
Record.Final-12,明穂,「っ、手加減しないからっ！」,「っ、手加減しないからっ！」
,,,
Record.Final-13,六花,「ただの戦闘員が聖核戦姫に勝てるわけがない！行くよッ！」,「ただの戦闘員が聖核戦姫に勝てるわけがない！行くよッ！」
,,,
Record.Final-14,,―――――1分後,―――――1分後
,Record akiho＆rikka1,,
Record.Final-15,,明穂と六花はあっさりと戦闘員に敗北し、捕らえられていた,明穂と六花はあっさりと戦闘員に敗北し、捕らえられていた
,,,
Record.Final-16,明穂,「ちょ、ちょっと六花！なんでこんな簡単に負けてるのっ！？」,「ちょ、ちょっと六花！なんでこんな簡単に負けてるのっ！？」
,,,
Record.Final-17,六花,「っ、明穂こそっ！ほとんど戦ってないし抵抗してなかった！」,「っ、明穂こそっ！ほとんど戦ってないし抵抗してなかった！」
,,,
Record.Final-18,明穂,「そんなこと言ったって…六花早く何とかして！」,「そんなこと言ったって…六花早く何とかして！」
,,,
Record.Final-19,六花,「何とかって…もうこうなったら私でも……」,「何とかって…もうこうなったら私でも……」
,,,
Record.Final-20,戦闘員,「ははっ、何かと思ったらクソ弱いじゃねえか、一体何しに出てきたんだ？」,「ははっ、何かと思ったらクソ弱いじゃねえか、一体何しに出てきたんだ？」
,,,
Record.Final-21,明穂,「っ、馬鹿にして……」,「っ、馬鹿にして……」
,,,
Record.Final-22,六花,「っ、聖核戦姫は絶対に諦めないっ！」,「っ、聖核戦姫は絶対に諦めないっ！」
,,,
Record.Final-23,戦闘員,「それとも……お前らコレが欲しくてノコノコ出てきたんじゃねえか？」,「それとも……お前らコレが欲しくてノコノコ出てきたんじゃねえか？」
,Record akiho＆rikka２,,
Record.Final-24,,そう言うと戦闘員はスーツから男根を取り出し、二人に見せつける,そう言うと戦闘員はスーツから男根を取り出し、二人に見せつける
,,,
Record.Final-25,明穂,「…………っ♥！！」,「…………っ♥！！」
,,,
Record.Final-26,六花,「……っ♥♥！！！」,「……っ♥♥！！！」
,,,
Record.Final-27,戦闘員,「お？、そんなに見つめやがって、図星みてえだなぁ？」,「お？、そんなに見つめやがって、図星みてえだなぁ？」
,,,
Record.Final-28,明穂,「っ、六花何とかしてっ♥、じゃないと私達戦闘員の極太チンポハメられちゃう……！」,「っ、六花何とかしてっ♥、じゃないと私達戦闘員の極太チンポハメられちゃう……！」
,,,
Record.Final-29,六花,「それなら明穂も見てないで少しは抵抗してよっ♥期待してるみたいじゃんっ♥」,「それなら明穂も見てないで少しは抵抗してよっ♥期待してるみたいじゃんっ♥」
,,,
Record.Final-30,戦闘員,「ははっ、待ちきれないみたいだなっ、じゃあ期待に応えてやるよっ！」,「ははっ、待ちきれないみたいだなっ、じゃあ期待に応えてやるよっ！」
,,,
Record.Final-31,Record akiho＆rikka3,ズボッッ！！,ズボッッ！！
,,,
Record.Final-32,明穂＆六花,「「ひあっ♥、チンポきたあッ～～～～ッ♥♥！」」,「「ひあっ♥、チンポきたあッ～～～～ッ♥♥！」」
,,,
Record.Final-33,,チンポが挿入されると同時に明穂と六花から嬌声が上がる,チンポが挿入されると同時に明穂と六花から嬌声が上がる
,Record akiho＆rikka４,,
Record.Final-34,,ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！
,,,
Record.Final-35,明穂,「お゛っ♥、お゛っ♥、お゛っ♥、戦闘員の極太チンポっ♥、やばいっ♥♥♥！」,「お゛っ♥、お゛っ♥、お゛っ♥、戦闘員の極太チンポっ♥、やばいっ♥♥♥！」
,,,
Record.Final-36,六花,「おまんこっ、深い所までっ♥、えぐれてるっ♥」,「おまんこっ、深い所までっ♥、えぐれてるっ♥」
,,,
Record.Final-37,戦闘員,「やっぱりわざわざオナホになりに来たんじゃねえか！この淫乱女共がっ！」,「やっぱりわざわざオナホになりに来たんじゃねえか！この淫乱女共がっ！」
,,,
Record.Final-38,,ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！
,,,
Record.Final-39,明穂,「んお゛っ♥、ちっ、違うのっ、たとえ勝てなくても立ち向かうのが聖核戦姫なのっ♥♥」,「んお゛っ♥、ちっ、違うのっ、たとえ勝てなくても立ち向かうのが聖核戦姫なのっ♥♥」
,,,
Record.Final-40,六花,「そうっ♥、たとえ即負け即ハメでもっ♥、心はまだ負けてないからっ♥！」,「そうっ♥、たとえ即負け即ハメでもっ♥、心はまだ負けてないからっ♥！」
,,,
Record.Final-41,明穂,「お゛っ♥、お゛っ♥、ん゛っ♥、聖核戦姫をっ♥ナメないでっ♥！」,「お゛っ♥、お゛っ♥、ん゛っ♥、聖核戦姫をっ♥ナメないでっ♥！」
,,,
Record.Final-42,六花,「敗北レイプされてもっ♥、最後に勝つのは私達っ♥！」,「敗北レイプされてもっ♥、最後に勝つのは私達っ♥！」
,,,
Record.Final-43,,ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！
,,,
Record.Final-44,戦闘員,「ははっ、雑魚のくせに口先だけはいっちょ前だなっ！」,「ははっ、雑魚のくせに口先だけはいっちょ前だなっ！」
,,,
Record.Final-45,明穂,「お゛っ♥、お゛うっ♥、んっ♥イクッ♥♥」,「お゛っ♥、お゛うっ♥、んっ♥イクッ♥♥」
,,,
Record.Final-46,六花,「お゛っ♥、戦闘員チンポッ、強すぎるっ♥」,「お゛っ♥、戦闘員チンポッ、強すぎるっ♥」
,,,
Record.Final-47,明穂,「お゛っ♥、六花っ、このままだと私達っ♥おまんこに中出しされちゃうよっ♥」,「お゛っ♥、六花っ、このままだと私達っ♥おまんこに中出しされちゃうよっ♥」
,,,
Record.Final-48,六花,「んっ♥、わかってるっ♥、でもっ♥、チンポから逃げられないッ♥」,「んっ♥、わかってるっ♥、でもっ♥、チンポから逃げられないッ♥」
,,,
Record.Final-49,,二人の聖核戦姫にはもはや抵抗する気力は残っていなかった,二人の聖核戦姫にはもはや抵抗する気力は残っていなかった
,,,
Record.Final-50,戦闘員,「あ？聖核戦姫は負けねえんじゃなかったのか？」,「あ？聖核戦姫は負けねえんじゃなかったのか？」
,,,
Record.Final-51,,そう言うと戦闘員は更に腰の動きを激しくし、二人をオナホのように使っていく,そう言うと戦闘員は更に腰の動きを激しくし、二人をオナホのように使っていく
,,,
Record.Final-52,,ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！
,,,
Record.Final-53,明穂,「お゛っ♥、お゛っ♥、お゛おっ～～♥♥イクッ♥」,「お゛っ♥、お゛っ♥、お゛おっ～～♥♥イクッ♥」
,,,
Record.Final-54,六花,「私達はっ♥、お゛っ♥、絶対負けないっ♥！」,「私達はっ♥、お゛っ♥、絶対負けないっ♥！」
,,,
Record.Final-55,戦闘員,「はっ、そろそろ出してやるっ、これで終わりだっ！」,「はっ、そろそろ出してやるっ、これで終わりだっ！」
,,,
Record.Final-56,明穂,「お゛っ♥、ま、負けないッ、聖核戦姫はチンポなんかにっ♥」,「お゛っ♥、ま、負けないッ、聖核戦姫はチンポなんかにっ♥」
,,,
Record.Final-57,六花,「そうっ♥、私達はっ♥、絶対に諦めないのっ♥」,「そうっ♥、私達はっ♥、絶対に諦めないのっ♥」
,Record akiho＆rikka5,,
Record.Final-58,,ビュルルルッルッ！！ドクッ！！,ビュルルルッルッ！！ドクッ！！
,,,
Record.Final-59,明穂,「お゛おっ♥、おまんこにっ♥、出されてるっ♥！！」,「お゛おっ♥、おまんこにっ♥、出されてるっ♥！！」
,,,
Record.Final-60,六花,「お゛ほっ♥、んっ♥、中出しでっ♥、子宮があっ♥♥！」,「お゛ほっ♥、んっ♥、中出しでっ♥、子宮があっ♥♥！」
,,,
Record.Final-61,戦闘員,「おらっ、さっさと負けを認めろオナホ共っ！聖核戦姫はすべからくオナホなんだよっ！」,「おらっ、さっさと負けを認めろオナホ共っ！聖核戦姫はすべからくオナホなんだよっ！」
,,,
Record.Final-62,明穂,「お゛っ♥、まけっ、負けましたっ！、チンポに負けましたっ♥♥♥」,「お゛っ♥、まけっ、負けましたっ！、チンポに負けましたっ♥♥♥」
,,,
Record.Final-63,六花,「お゛っ♥、私も負けっ♥♥、こんなの勝てるわけないぃっ♥！」,「お゛っ♥、私も負けっ♥♥、こんなの勝てるわけないぃっ♥！」
,,,
Record.Final-64,,ドクッ、ドクッ！,ドクッ、ドクッ！
,,,
Record.Final-65,明穂,「私は聖核戦姫じゃなくてただのメスオナホでしたっ♥♥、もっと射精してくださいっ♥」,「私は聖核戦姫じゃなくてただのメスオナホでしたっ♥♥、もっと射精してくださいっ♥」
,,,
Record.Final-66,六花,「お゛っ♥、私もっ♥、完全敗北ですっ♥、好きにお使いくださいっ♥♥！」,「お゛っ♥、私もっ♥、完全敗北ですっ♥、好きにお使いくださいっ♥♥！」
,Record akiho＆rikka６,,
Record.Final-67,戦闘員,「ははっ、簡単に堕ちやがったな、これでいっちょ上がりだ」,「ははっ、簡単に堕ちやがったな、これでいっちょ上がりだ」
,,,
Record.Final-68,明穂,「んっ♥、そうですっ♥、負けですっ♥♥♥」,「んっ♥、そうですっ♥、負けですっ♥♥♥」
,,,
Record.Final-69,六花,「私達っ♥♥、一生オナホとしてご奉仕しますっ♥♥」,「私達っ♥♥、一生オナホとしてご奉仕しますっ♥♥」
,,,
Record.Final-70,戦闘員,「まあいい、茶番は終わりだ。周りにも聖核戦姫が終わったってことは伝わっただろ」,「まあいい、茶番は終わりだ。周りにも聖核戦姫が終わったってことは伝わっただろ」
,,,
Record.Final-71,戦闘員,「撤収するぞ、アジトに帰ったらまたチンポハメてやる」,「撤収するぞ、アジトに帰ったらまたチンポハメてやる」
,,,
Record.Final-72,明穂＆六花,「「あっ♥、ありがとうございますうっ♥♥♥」」,「「あっ♥、ありがとうございますうっ♥♥♥」」
,,,
Record.Final-73,,その二人の表情には既戦士としての面影はなく、チンポへの媚びと期待しかない,その二人の表情には既戦士としての面影はなく、チンポへの媚びと期待しかない
,,,
Record.Final-74,明穂,「嬉しいですっ♥、もっとチンポ欲しいっ♥♥」,「嬉しいですっ♥、もっとチンポ欲しいっ♥♥」
,,,
Record.Final-75,六花,「負けて良かったっ♥、聖核戦姫やめて良かったっ♥♥」,「負けて良かったっ♥、聖核戦姫やめて良かったっ♥♥」
,,,
Record.Final-76,明穂＆六花,「「私達っ♥♥、皆様のオナホとして頑張りますっ♥♥」」,「「私達っ♥♥、皆様のオナホとして頑張りますっ♥♥」」
,,,
Record Kei,注釈,エンドコンテンツ　京　,エンドコンテンツ　京　
Record.Kei,,【小悪魔の日常】,【小悪魔の日常】
,アジト,,
Record.Kei-1,,財団アジトにて,財団アジトにて
,,,
Record.Kei-2,京(闇落ち),「那由多を堕とした怪人……？」,「那由多を堕とした怪人……？」
,,,
Record.Kei-3,,「へえ、あの生徒会長をたった一人で堕とした怪人か…興味深いね」,「へえ、あの会長をたった一人で堕とした怪人か…興味深いね」
,,,
Record.Kei-4,,京は妖艶な笑みを浮かべちょろっと舌を出す,京は妖艶な笑みを浮かべちょろっと舌を出す
,,,
Record.Kei-5,京(闇落ち),「ふふっ♥最近戦闘員達のチンポで遊ぶのも飽きて来たんだよね」,「ふふっ♥最近戦闘員達のチンポで遊ぶのも飽きて来たんだよね」
,,,
Record.Kei-6,,「どれほどのものか分からないが…私をどれだけ満足させられるかな…？」,「どれほどのものか分からないが…私をどれだけ満足させられるかな…？」
,暗転,,
,Record Kei 1,,
Record.Kei-7,,ドチュッ！ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！ドチュッ！
,,,
Record.Kei-8,怪人,「どうした？随分と余裕が無さそうだが？」,「どうした？随分と余裕が無さそうだが？」
,,,
Record.Kei-9,京,「お゛っ♥、お゛っ♥、お゛っ♥、お゛おっ♥！？」,「お゛っ♥、お゛っ♥、お゛っ♥、お゛おっ♥！？」
,,,
Record.Kei-10,,京は小柄な体を巨大な怪人に捕まれ、無理やり膣でチンポを扱かれていた,京は小柄な体を巨大な怪人に捕まれ、無理やり膣でチンポを扱かれていた
,,,
