 ,Comment,Japanese,Japanese,English
,,,,
Dialog.Chapter2-2-15,005号,「…笹谷明穂はこのビルの屋上近くの部屋にいます。私達の要求に従えば今日中にでも開放します」,「…笹谷明穂はこのビルの屋上近くの部屋にいます。私達の要求に従えば今日中にでも開放します」,"""...Sasaya Akiho is in a room near the roof of this building. If you comply with our request, we will release her today."""
,,,,
Dialog.Chapter2-2-16,,「――――要求は簡単です。少し貴女の体を調べるだけです。」,「――――要求は簡単です。少し貴女の体を調べるだけです。」,""" ――――The request is simple. All we want is to examine your body a little."""
,,,,
Dialog.Chapter2-2-16.2,ここからエロシーン,クローンに連れていかれたビルの中の一室にて,クローンに連れていかれたビルの中の一室にて,In a room in a building taken by a clone
Dialog.Chapter2-2-17,六花,「…っなんで全裸になる必要があるのっ！？」,「…っなんで全裸になる必要があるのっ！？」,"""... Why do I have to be naked?"""
,Rikka2ｰ1,,,
Dialog.Chapter2-2-18,005号,「静かにしてください。大事な事なので。それにクローンに見られてもどうということは無いでしょう」,「静かにしてください。大事な事なので。それにクローンに見られてもどうということは無いでしょう」,"""Please be quiet. It's important. Besides, what does it matter if the clone sees your body?"""
,,,,
Dialog.Chapter2-2-19,,六花は服を全てぬがされ、クローン戦闘員達によって身体を検査されていた,六花は服を全てぬがされ、クローン戦闘員達によって身体を検査されていた,Rikka was stripped of all her clothes and her body was examined by the clone fighters.
,,,,
Dialog.Chapter2-2-20,六花,「……もし触ったり、何か変な事しようとしたらその時はいつでも変身するから」,「……もし触ったり、何か変な事しようとしたらその時はいつでも変身するから」,"""...... if you touch me or try anything weird, I'll transform."""
,,,,
Dialog.Chapter2-2-21,005号,「もちろんわかっています。オリジナルの下着は水色縞模様…と」,「もちろんわかっています。オリジナルの下着は水色縞模様…と」,"""Of course I know. So the original underwear was light blue striped..."""
,Rikka2-2,,,
Dialog.Chapter2-2-22,六花,「別になんだっていいでしょ！あんたたちだって不気味なスーツ着てるくせに！」,「別になんだっていいでしょ！あんたたちだって不気味なスーツ着てるくせに！」,"""How come things like this matter! You're the ones in the creepy suits!"""
,,,,
Dialog.Chapter2-2-23,005号,「なんでもよくありません。オリジナルの趣味嗜好も重要なデータですので」,「なんでもよくありません。オリジナルの趣味嗜好も重要なデータですので」,"""It does matter. Original's tastes and preferences are important data."""
,,,,
Dialog.Chapter2-2-24,005号,「……計測を続けます。身長は162cm、体重は52.4kg、体脂肪率22.4％、乳輪の直径は32.5mm、乳頭は直径10.1mm―――」,「……計測を続けます。身長は162cm、体重は52.4kg、体脂肪率22.4％、乳輪の直径は32.5mm、乳頭は直径10.1mm―――」,"""...... let's continue with the measurements. Height is 162 cm, weight is 52.4 kg, body fat percentage is 22.4%, nipple diameter is 32.5 mm, nipple diameter is 10.1 mm―――"""
,Rikka2-3,,,
Dialog.Chapter2-2-25,六花,「っ、ちょっと！、身長体重はともかく、なんでそんな所まで計測するのっ！？」,「っ、ちょっと！、身長体重はともかく、なんでそんな所まで計測するのっ！？」,"""H.. hey! Other than height and weight, why are you measuring all that?"""
,,,,
Dialog.Chapter2-2-26,005号,「聖核戦姫になる事がどの様に身体に影響を与えるかを調査するためです」,「聖核戦姫になる事がどの様に身体に影響を与えるかを調査するためです」,"""The purpose is to investigate how being a Seikaku Princess affects the body."""
,Rikka2-2,,,
Dialog.Chapter2-2-27,005号,「続けます。クリトリスの大きさは―――」,「続けます。クリトリスの大きさは―――」,"""Continue. The size of the clitoris is―――"""
,,,,
Dialog.Chapter2-2-28,,しばらくクローン達による計測が続いた後,しばらくクローン達による計測が続いた後,After some time of measurement by the clones
,,,,
Dialog.Chapter2-2-29,005号,「――――では次に口頭での質問です。一週間の自慰の回数を教えてください。」,「――――では次に口頭での質問です。一週間の自慰の回数を教えてください。」,"""―――― the next question is an oral question. How many times do you masturbate in a week?"""
,,,,
Dialog.Chapter2-2-30,六花,「はぁっ！？なんでそんなことっ」,「はぁっ！？なんでそんなことっ」,"""Huh? Again why does that matter?"""
,,,,
Dialog.Chapter2-2-31,005号,「これも聖核戦姫の身体に与える影響を―――」,「これも聖核戦姫の身体に与える影響を―――」,"""This too will have an effect on the body of the Seikaku Princess..."""
,,,,
Dialog.Chapter2-2-32,六花,「だからってそんなの教えるわけないでしょ！」,「だからってそんなの教えるわけないでしょ！」,"""That doesn't mean I'm going to tell you that!"""
,,,,
Dialog.Chapter2-2-33,005号,「……貴女は笹谷明穂よりも自分のプライドを優先するのですか？」,「……貴女は笹谷明穂よりも自分のプライドを優先するのですか？」,"""...... you put your pride ahead of Sasaya Akiho?"""
,,,,
Dialog.Chapter2-2-34,六花,「っ！………うぅ～」,「っ！………うぅ～」,"""! ......... ugh~"""
,,,,
Dialog.Chapter2-2-35,,「………週に、3回…ぐらい。」,「………週に、3回…ぐらい。」,"""......... about...three times..... a week."""
,,,,
Dialog.Chapter2-2-36,005号,「虚偽の報告はやめてください。あなたの検索履歴からは―――」,「虚偽の報告はやめてください。あなたの検索履歴からは―――」,"""Please do not report false information. Your search history says otherw――"""
,,,,
Dialog.Chapter2-2-37,六花,「毎日っ！、疲れてる時以外は毎日してるっ！朝起きた時と夜シャワー浴びる前に！」,「毎日っ！、疲れてる時以外は毎日してるっ！朝起きた時と夜シャワー浴びる前に！」,"""Every day! I do it every day except when I'm tired! When I wake up in the morning and before I shower at night!"""
,,,,
Dialog.Chapter2-2-38,005号,「具体的にどのようにしているのかも教えてください。」,「具体的にどのようにしているのかも教えてください。」,"""Could you also tell me how exactly you do that?"""
,Rikka2-4,,,
Dialog.Chapter2-2-39,六花,「………っ、妄想しながらっ、……指……入れて…。」,「………っ、妄想しながらっ、……指……入れて…。」,"""............ I'm fantasizing... While putting my ...... fingers ........."""
,,,,
Dialog.Chapter2-2-40,005号,「正直に答えていただきありがとうございました」,「正直に答えていただきありがとうございました」,"""Thank you for your honesty."""
,,,,
Dialog.Chapter2-2-41,六花,「……うぅ、…っていうかなんで検索履歴知ってるの！？」,「……うぅ、…っていうかなんで検索履歴知ってるの！？」,"""...... Ugh, I mean...how do you know my search history!"""
,,,,
Dialog.Chapter2-2-42,005号,「私は貴女のクローンですので、スマホの生体認証も簡単に突破できました」,「私は貴女のクローンですので、スマホの生体認証も簡単に突破できました」,"""Since I am a clone of you, I was able to easily get past the biometrics on your phone."""
,,,,
Dialog.Chapter2-2-43,六花,「……っ！(終わったらぶっ飛ばして記憶消してやるっ)」,「……っ！(終わったらぶっ飛ばして記憶消してやるっ)」,"""...... (I'm going to blow you up and erase all history when I'm done!)"""
,,,,
Dialog.Chapter2-2-44,005号,「では最後です。尿検査を行いますのでこの容器に向かって放尿してください。」,「では最後です。尿検査を行いますのでこの容器に向かって放尿してください。」,"""Now the last part. Please urinate into this container as we perform a urine test."""
,Rikka2-3,,,
Dialog.Chapter2-2-45,六花,「はぁ！？ここでっ！？」,「はぁ！？ここでっ！？」,"""Huh? Here!"""
,,,,
Dialog.Chapter2-2-46,005号,「当たり前です。見えないところに行ったら何をするかわかりませんからね。触ることもできないので、こうするほかありません。」,「当たり前です。見えないところに行ったら何をするかわかりませんからね。触ることもできないので、こうするほかありません。」,"""Of course. If you go somewhere we can't see, we don't know what you will do. I can't touch you, so I have no choice but to do this."""
,,,,
Dialog.Chapter2-2-47,六花,「そんなこと言ったって…っ、こんなに人いる中でっ…！」,「そんなこと言ったって…っ、こんなに人いる中でっ…！」,"""Even so, but there are so many people here...!"""
,,,,
Dialog.Chapter2-2-48,005号,「そうですね。早くしてください。これで最後なので」,「そうですね。早くしてください。これで最後なので」,"""I see. Please hurry up. This is the last one."""
,Rikka2-2,,,
Dialog.Chapter2-2-49,六花,「～～～～ッ！、すればいいんでしょ！」,「～～～～ッ！、すればいいんでしょ！」,"""～～～～! Fine I'll do it!"""
,,,,
Dialog.Chapter2-2-50,005号,「物分かりが良くて助かります。ではよく狙いを定めてお願いします」,「物分かりが良くて助かります。ではよく狙いを定めてお願いします」,"""I'm glad you're so understanding. Now, please aim well."""
,Rikka2-4,,,
Dialog.Chapter2-2-51,六花,「――そんなすぐ出るものじゃっ、くっ、んうっ」,「――そんなすぐ出るものじゃっ、くっ、んうっ」,"""――it's not supposed to come out that easy."""
,,,,
Dialog.Chapter2-2-52,,六花は何人ものクローンが見ている中、がに股中腰の姿勢で容器に狙いを定めようとする,六花は何人ものクローンが見ている中、がに股中腰の姿勢で容器に狙いを定めようとする,Rikka tries to aim at the container with a hunched midriff position while several clones are watching
,,,,
Dialog.Chapter2-2-53,六花,(っ、クローンとはいえっ、大勢が見てる前でこんな格好でっ…),(っ、クローンとはいえっ、大勢が見てる前でこんな格好でっ…),"(Even if it's just clone, being naked like this in front of so many people...)"
,,,,
Dialog.Chapter2-2-54,,(ううん、明穂のためっ！私が恥ずかしい思いするくらいどうってことないっ！),(ううん、明穂のためっ！私が恥ずかしい思いするくらいどうってことないっ！),"(No, it's for Akiho's sake! It doesn't matter if I'm embarrassed!)"
,,,,
Dialog.Chapter2-2-55,,そして六花は膀胱に意識を集中させ―――,そして六花は膀胱に意識を集中させ―――,Rikka then concentrated on her bladder and ――――.
,,,,
Dialog.Chapter2-2-56,Rikka2-5,ぷしゃあああっ…,ぷしゃあああっ…,Psshhhh...
,,,,
Dialog.Chapter2-2-57,六花,「う……、ぁ……っ♥」,「う……、ぁ……っ♥」,"""U......, ah......♥"""
,,,,
Dialog.Chapter2-2-58,,六花の尿道から黄色の液体が放たれ、じょぼじょぼと音を立てながら容器に溜まっていく,六花の尿道から黄色の液体が放たれ、じょぼじょぼと音を立てながら容器に溜まっていく,Yellow liquid is released from Rikka's urethra and accumulates in a container while making a dribbling sound.
,,,,
Dialog.Chapter2-2-59,六花,「っ…！そんなに見るなぁっ」,「っ…！そんなに見るなぁっ」,""".....Don't look at me like that!"""
,,,,
Dialog.Chapter2-2-60,005号,「沢山出ますね。サンプルが増えるので良いことです」,「沢山出ますね。サンプルが増えるので良いことです」,"""It's good because it gives us a larger sample."""
,,,,
Dialog.Chapter2-2-61,六花,(～～ううっ、室内だからおしっこの音反響してっ、全員に聞かれてるっ、恥ずかしすぎるっ！),(～～ううっ、室内だからおしっこの音反響してっ、全員に聞かれてるっ、恥ずかしすぎるっ！),"(~~~Ugh, I'm indoors, so the sound of my pee will reverberate, everyone can hear me, it's too embarrassing!)"
,,,,
Dialog.Chapter2-2-62,,ぷしゃっ、ちょろろ……,ぷしゃっ、ちょろろ……,Pshaw ......
,Rikka2-6,,,
Dialog.Chapter2-2-63,六花,「――ふうっ、う…♥」,「――ふうっ、う…♥」,"""――hu...u...♥"""
,,,,
Dialog.Chapter2-2-64,005号,「全部出し切ったようで何よりです。オリジナルの排尿、興味深く見させてもらいました」,「全部出し切ったようで何よりです。オリジナルの排尿、興味深く見させてもらいました」,"""I'm glad you got it all out. I was very interested to see the Original's urination."""
Dialog.Chapter2-2-65,六花,「～～～っっっ、！」,「～～～っっっ、！」,"""~~~~!"""
,,,,
,,,,
,エロシーン終了,,,
,廃ビル(日中),,,
Dialog.Chapter2-2-66,六花,「…これで要求には全部従った。早く明穂に合わせて」,「…これで要求には全部従った。早く明穂に合わせて」,"""I've complied with all of your demands. Quickly, let me see Akiho."""
,,,,
Dialog.Chapter2-2-67,005号,「そうですね…、しかし全裸で手錠をつけた状態の敵を前に、私達が何もしないと思いますか？」,「そうですね…、しかし全裸で手錠をつけた状態の敵を前に、私達が何もしないと思いますか？」,"""'Yes...but do you think we would do nothing in the face of an enemy who is completely naked and handcuffed?'"""
,,,,
Dialog.Chapter2-2-68,,部屋のあちこちから隠れていた戦闘員が現れる,部屋のあちこちから隠れていた戦闘員が現れる,Combatants who had been hiding emerge from various parts of the room.
,,,,
Dialog.Chapter2-2-69,六花,「…こうなると思った。交渉は決裂か…」,「…こうなると思った。交渉は決裂か…」,"""I knew this would happen. Negotiations have broken down..."""
,,,,
Dialog.Chapter2-2-70,,「―――変身」,「―――変身」,"""Transform."""
,,,,
Dialog.Chapter2-2-71,,六花の体から青色の光が立ち上り、体がスーツに包まれる,六花の体から青色の光が立ち上り、体がスーツに包まれる,Blue light rises from Rikka's body and her body is enveloped by the suit.
,,,,
Dialog.Chapter2-2-72,005号,「――――総員戦闘準備っ！水無瀬六花を確保する！」,「――――総員戦闘準備っ！水無瀬六花を確保する！」,"""―――― All hands prepare for battle! Capture Minase Rikka!"""
,,,,
Dialog.Chapter2-2-73,,戦闘員たちが一斉に六花に襲い掛かる,戦闘員たちが一斉に六花に襲い掛かる,All the combatants attack Rikka at once.
,,,,
Dialog.Chapter2-2-74,六花,「ふんっ！」,「ふんっ！」,"""Hmph!"""
,,,,
Dialog.Chapter2-2-75,,六花につけられていた手錠の鎖が糸のように簡単に引きちぎられたと思うと―――,六花につけられていた手錠の鎖が糸のように簡単に引きちぎられたと思うと―――,The chains of the handcuffs on Rikka were ripped off as easily as thread―――.
,,,,
Dialog.Chapter2-2-76,,「あんた達、流石に私を舐めすぎ…、はっ！」,「あんた達、流石に私を舐めすぎ…、はっ！」,"""You guys underestimated too much...ha!"""
,,,,
Dialog.Chapter2-2-77,,ドガガガッ！,ドガガガッ！,Dogga―ga―ga!
,,,,
Dialog.Chapter2-2-78,,「がはっ！」,「がはっ！」,"""Gaaah!"""
,,,,
Dialog.Chapter2-2-79,,六花の回し蹴りの一撃が顎を揺らし、襲い掛かった戦闘員が全員床に崩れ落ちる,六花の回し蹴りの一撃が顎を揺らし、襲い掛かった戦闘員が全員床に崩れ落ちる,Rikka's spinning kick blow shakes the jaw and all the attacked fighters crumple to the floor.
,,,,
Dialog.Chapter2-2-80,六花,「もうあんた達にかまってる暇はない。待ってて明穂、今行くから！はぁっ！」,「もうあんた達にかまってる暇はない。待ってて明穂、今行くから！はぁっ！」,"""I don't have time for you guys anymore. Wait for me, Akiho, I'm coming! Haa!"""
,,,,
Dialog.Chapter2-2-81,,ドゴッ！！,ドゴッ！！,!!!!!!!!!!!!!!!!!
,,,,
Dialog.Chapter2-2-82,,六花は天井に向かって飛び上がったと思うと、そのまま蹴りで天井を破る,六花は天井に向かって飛び上がったと思うと、そのまま蹴りで天井を破る,Rikka jumps up toward the ceiling and breaks the ceiling with a direct kick
,,,,
Dialog.Chapter2-2-83,戦闘員,「なんだコイツっ！、おいっ、他の階の部隊に告ぐっ！水無瀬六花を足止めしろ！」,「なんだコイツっ！、おいっ、他の階の部隊に告ぐっ！水無瀬六花を足止めしろ！」,"""What the hell is this girl? Hey, tell the troops on the other floors! Stop Minase Rikka!"""
,,,,
Dialog.Chapter2-2-84,六花,「無駄だってっ！はぁっ！」,「無駄だってっ！はぁっ！」,"""It's useless! Hah!"""
,,,,
Dialog.Chapter2-2-85,,ドゴンッ！ドゴンッ！,ドゴンッ！ドゴンッ！,Boom!
,,,,
Dialog.Chapter2-2-86,,襲い掛かる戦闘員をことごとく瞬殺し、六花は天井を破りながら最短ルートで明穂のいる階に上っていく。,襲い掛かる戦闘員をことごとく瞬殺し、六花は天井を破りながら最短ルートで明穂のいる階に上っていく。,"defeating every combatant who try to attacked her, Rikka took the shortest route up to the floor where Akiho was, breaking through the ceiling."
,,,,
Dialog.Chapter2-2-87,,(待ってて明穂っ！今行くからっ！),(待ってて明穂っ！今行くからっ！),"(Wait for me, Akiho! I'm coming!)"
,,,,
Dialog.Chapter2-2-88,,そして六花は、ものの1分ほどで明穂のいる階に到達し―――,そして六花は、ものの1分ほどで明穂のいる階に到達し―――,"Rikka reached the floor where Akiho was in about a minute, and..."
,,,,
Dialog.Chapter2-2-89,六花,「―――明穂っ！」,「―――明穂っ！」,"""Akiho!"""
,,,,
Dialog.Chapter2-2-90,明穂,「――――六花…？」,「――――六花…？」,"""―――― Rikka...?"""
,,,,
Dialog.Chapter2-2-91,,遂に六花は探していた親友を見つけた,遂に六花は探していた親友を見つけた,"Finally, Rikka found the best friend she was looking for."
,,,,
Chapter 2-3,注釈,,,
,廃ビル,,,
Dialog.Chapter2-3-1,六花,「―――明穂っ！」,「―――明穂っ！」,"""Akiho!"""
,,,,
Dialog.Chapter2-3-2,明穂,「――――六花…？」,「――――六花…？」,"""―――― Rikka...?"""
,,,,
Dialog.Chapter2-3-3,戦闘員,「っ！バケモノがっ、もう上がってきやがったのかっ！？」,「っ！バケモノがっ、もう上がってきやがったのかっ！？」,"""What! This monster has already come up!"""
,,,,
Dialog.Chapter2-3-4,六花,「―――明穂から離れろっ！」,「―――明穂から離れろっ！」,"""Get away from Akiho!"""
,,,,
Dialog.Chapter2-3-5,,その瞬間、六花の蹴りが戦闘員二人を吹き飛ばす,その瞬間、六花の蹴りが戦闘員二人を吹き飛ばす,"At that moment, Rikka's kick blows away two combatants."
,,,,
